version,1.7.0
info,balls_per_over,5
info,team,Trent Rockets
info,team,Birmingham Phoenix
info,gender,male
info,season,2024
info,date,2024/08/12
info,event,The Hundred Men's Competition
info,match_number,28
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Birmingham Phoenix
info,toss_decision,field
info,player_of_match,TG Southee
info,umpire,Mark Newell
info,umpire,SJ O'Shaughnessy
info,reserve_umpire,AC Harris
info,tv_umpire,NJ Llong
info,match_referee,Wayne Noon
info,winner,Birmingham Phoenix
info,winner_wickets,6
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,TP Alsop
info,player,Trent Rockets,R Powell
info,player,Trent Rockets,Imad Wasim
info,player,Trent Rockets,CJ Green
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,SJ Cook
info,player,Trent Rockets,JA Turner
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,JL Smith
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,player,Birmingham Phoenix,CP Wood
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AD Hales,92aeac25
info,registry,people,AF Milne,350bb1b1
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BM Duckett,5f26f677
info,registry,people,CJ Green,19b9f399
info,registry,people,CP Wood,1cfac535
info,registry,people,DR Mousley,876dbe2d
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JA Turner,cdd875d9
info,registry,people,JE Root,a343262c
info,registry,people,JG Bethell,3c55c703
info,registry,people,JL Smith,c834c290
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,NJ Llong,573fb985
info,registry,people,R Powell,650d5e49
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SJ Cook,679cd31e
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,T Banton,25f7b7d6
info,registry,people,TG Southee,13c35c9e
info,registry,people,TP Alsop,961b8ff1
info,registry,people,Wayne Noon,736e1761
ball,1,0.1,Trent Rockets,T Banton,AD Hales,AF Milne,0,0,,,,,,"",""
ball,1,0.2,Trent Rockets,T Banton,AD Hales,AF Milne,0,0,,,,,,"",""
ball,1,0.3,Trent Rockets,T Banton,AD Hales,AF Milne,0,0,,,,,,"",""
ball,1,0.4,Trent Rockets,T Banton,AD Hales,AF Milne,4,0,,,,,,"",""
ball,1,0.5,Trent Rockets,T Banton,AD Hales,AF Milne,0,0,,,,,,"",""
ball,1,1.1,Trent Rockets,T Banton,AD Hales,TG Southee,1,0,,,,,,"",""
ball,1,1.2,Trent Rockets,AD Hales,T Banton,TG Southee,1,0,,,,,,"",""
ball,1,1.3,Trent Rockets,T Banton,AD Hales,TG Southee,0,0,,,,,,lbw,T Banton
ball,1,1.4,Trent Rockets,JE Root,AD Hales,TG Southee,1,0,,,,,,"",""
ball,1,1.5,Trent Rockets,AD Hales,JE Root,TG Southee,0,0,,,,,,"",""
ball,1,2.1,Trent Rockets,JE Root,AD Hales,AF Milne,0,0,,,,,,"",""
ball,1,2.2,Trent Rockets,JE Root,AD Hales,AF Milne,1,0,,,,,,"",""
ball,1,2.3,Trent Rockets,AD Hales,JE Root,AF Milne,0,0,,,,,,"",""
ball,1,2.4,Trent Rockets,AD Hales,JE Root,AF Milne,0,0,,,,,,"",""
ball,1,2.5,Trent Rockets,AD Hales,JE Root,AF Milne,0,0,,,,,,"",""
ball,1,3.1,Trent Rockets,AD Hales,JE Root,CP Wood,0,0,,,,,,"",""
ball,1,3.2,Trent Rockets,AD Hales,JE Root,CP Wood,0,0,,,,,,"",""
ball,1,3.3,Trent Rockets,AD Hales,JE Root,CP Wood,4,0,,,,,,"",""
ball,1,3.4,Trent Rockets,AD Hales,JE Root,CP Wood,4,0,,,,,,"",""
ball,1,3.5,Trent Rockets,AD Hales,JE Root,CP Wood,0,0,,,,,,caught,AD Hales
ball,1,4.1,Trent Rockets,JE Root,TP Alsop,TG Southee,0,0,,,,,,caught,JE Root
ball,1,4.2,Trent Rockets,R Powell,TP Alsop,TG Southee,0,0,,,,,,"",""
ball,1,4.3,Trent Rockets,R Powell,TP Alsop,TG Southee,1,0,,,,,,"",""
ball,1,4.4,Trent Rockets,TP Alsop,R Powell,TG Southee,0,0,,,,,,"",""
ball,1,4.5,Trent Rockets,TP Alsop,R Powell,TG Southee,0,0,,,,,,"",""
ball,1,5.1,Trent Rockets,TP Alsop,R Powell,CP Wood,4,0,,,,,,"",""
ball,1,5.2,Trent Rockets,TP Alsop,R Powell,CP Wood,0,0,,,,,,"",""
ball,1,5.3,Trent Rockets,TP Alsop,R Powell,CP Wood,1,0,,,,,,"",""
ball,1,5.4,Trent Rockets,R Powell,TP Alsop,CP Wood,0,0,,,,,,"",""
ball,1,5.5,Trent Rockets,R Powell,TP Alsop,CP Wood,0,0,,,,,,lbw,R Powell
