version,1.7.0
info,balls_per_over,5
info,team,Trent Rockets
info,team,Manchester Originals
info,gender,male
info,season,2024
info,date,2024/07/29
info,event,The Hundred Men's Competition
info,match_number,7
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Manchester Originals
info,toss_decision,field
info,player_of_match,T Banton
info,umpire,AG Wharf
info,umpire,DJ Millns
info,reserve_umpire,Naeem Ashraf
info,tv_umpire,GD Lloyd
info,match_referee,AM Smith
info,winner,Trent Rockets
info,winner_runs,1
info,player,Trent Rockets,A Lyth
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,R Powell
info,player,Trent Rockets,Imad Wasim
info,player,Trent Rockets,Rashid Khan
info,player,Trent Rockets,JA Thompson
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,SJ Cook
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,MF Hurst
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,Sikandar Raza
info,player,Manchester Originals,SW Currie
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,Fazalhaq Farooqi
info,registry,people,A Lyth,70b8fd28
info,registry,people,AD Hales,92aeac25
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Smith,a0bc360f
info,registry,people,DJ Millns,46ecfe40
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,GD Lloyd,36e0770d
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,J Overton,59559bc2
info,registry,people,JA Thompson,1d2f290a
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,MDE Holden,d34a2268
info,registry,people,MF Hurst,40e4cf47
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,R Powell,650d5e49
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SJ Cook,679cd31e
info,registry,people,SR Hain,67b9536c
info,registry,people,SW Currie,c5f40e35
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Banton,25f7b7d6
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WL Madsen,86e0f3f0
ball,1,0.1,Trent Rockets,A Lyth,T Banton,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.2,Trent Rockets,A Lyth,T Banton,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,0.3,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,0,1,1,,,,,"",""
ball,1,0.4,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,0.5,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,0.6,Trent Rockets,A Lyth,T Banton,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.1,Trent Rockets,T Banton,A Lyth,PI Walter,4,0,,,,,,"",""
ball,1,1.2,Trent Rockets,T Banton,A Lyth,PI Walter,1,0,,,,,,"",""
ball,1,1.3,Trent Rockets,A Lyth,T Banton,PI Walter,0,0,,,,,,"",""
ball,1,1.4,Trent Rockets,A Lyth,T Banton,PI Walter,0,0,,,,,,"",""
ball,1,1.5,Trent Rockets,A Lyth,T Banton,PI Walter,0,0,,,,,,"",""
ball,1,2.1,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.2,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.3,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.4,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.5,Trent Rockets,T Banton,A Lyth,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,3.1,Trent Rockets,A Lyth,T Banton,SW Currie,1,0,,,,,,"",""
ball,1,3.2,Trent Rockets,T Banton,A Lyth,SW Currie,1,0,,,,,,"",""
ball,1,3.3,Trent Rockets,A Lyth,T Banton,SW Currie,1,0,,,,,,"",""
ball,1,3.4,Trent Rockets,T Banton,A Lyth,SW Currie,6,0,,,,,,"",""
ball,1,3.5,Trent Rockets,T Banton,A Lyth,SW Currie,1,0,,,,,,"",""
ball,1,4.1,Trent Rockets,T Banton,A Lyth,Sikandar Raza,4,0,,,,,,"",""
ball,1,4.2,Trent Rockets,T Banton,A Lyth,Sikandar Raza,0,0,,,,,,"",""
ball,1,4.3,Trent Rockets,T Banton,A Lyth,Sikandar Raza,4,0,,,,,,"",""
