version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Chennai Super Kings
info,gender,male
info,season,2025
info,date,2025/05/07
info,event,Indian Premier League
info,match_number,57
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Kolkata Knight Riders
info,toss_decision,bat
info,player_of_match,Noor Ahmad
info,umpire,AT Holdstock
info,umpire,Anish Sahasrabudhe
info,reserve_umpire,Amit Rana
info,tv_umpire,R Pandit
info,match_referee,Amit Sharma
info,winner,Chennai Super Kings
info,winner_wickets,2
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,Rahmanullah Gurbaz
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,MK Pandey
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MM Ali
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,CV Varun
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,Urvil Patel
info,player,Chennai Super Kings,R Ashwin
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,D Brevis
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,A Kamboj
info,player,Chennai Super Kings,KK Ahmed
info,registry,people,A Kamboj,fcc21ace
info,registry,people,A Mhatre,b2b4f545
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Amit Rana,f5db088b
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Brevis,844e79d1
info,registry,people,DP Conway,df5a6881
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,KK Ahmed,a2f46292
info,registry,people,M Pathirana,64839cb3
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Pandit,8a604384
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,S Dube,a4e37e47
info,registry,people,SP Narine,9d430b40
info,registry,people,Urvil Patel,cf59b3f0
info,registry,people,VG Arora,7c3b3b78
ball,1,0.1,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,4,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,KK Ahmed,1,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,A Kamboj,6,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,A Kamboj,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,Rahmanullah Gurbaz,SP Narine,A Kamboj,0,0,,,,,,caught,Rahmanullah Gurbaz
ball,1,1.4,Kolkata Knight Riders,AM Rahane,SP Narine,A Kamboj,4,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,AM Rahane,SP Narine,A Kamboj,0,0,,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,AM Rahane,SP Narine,A Kamboj,2,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,SP Narine,AM Rahane,KK Ahmed,0,1,1,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,SP Narine,AM Rahane,KK Ahmed,0,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,SP Narine,AM Rahane,KK Ahmed,0,1,,,,1,,"",""
ball,1,2.4,Kolkata Knight Riders,AM Rahane,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,AM Rahane,SP Narine,KK Ahmed,4,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,AM Rahane,SP Narine,KK Ahmed,0,0,,,,,,"",""
ball,1,2.7,Kolkata Knight Riders,AM Rahane,SP Narine,KK Ahmed,4,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,SP Narine,AM Rahane,A Kamboj,4,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,SP Narine,AM Rahane,A Kamboj,1,0,,,,,,"",""
ball,1,3.3,Kolkata Knight Riders,AM Rahane,SP Narine,A Kamboj,1,0,,,,,,"",""
ball,1,3.4,Kolkata Knight Riders,SP Narine,AM Rahane,A Kamboj,1,0,,,,,,"",""
ball,1,3.5,Kolkata Knight Riders,AM Rahane,SP Narine,A Kamboj,0,0,,,,,,"",""
