version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Kolkata Knight Riders
info,gender,male
info,season,2024
info,date,2024/03/29
info,event,Indian Premier League
info,match_number,10
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,SP Narine
info,umpire,AK Chaudhary
info,umpire,R Pandit
info,reserve_umpire,M Krishnadas
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Kolkata Knight Riders
info,winner_wickets,7
info,player,Royal Challengers Bengaluru,Vijaykumar Vyshak
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,GJ Maxwell
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,Anuj Rawat
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,AS Joseph
info,player,Royal Challengers Bengaluru,Mayank Dagar
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Kolkata Knight Riders,CV Varun
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,AS Roy
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,A Raghuvanshi
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AD Russell,bbd41817
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Joseph,b0946605
info,registry,people,AS Roy,e4cdf230
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,C Green,eaa76d3c
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,KD Karthik,c03f1114
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MA Starc,3fb19989
info,registry,people,Mayank Dagar,a457cfb5
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Pandit,8a604384
info,registry,people,RK Singh,0a509d6b
info,registry,people,RM Patidar,c740ea83
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,V Kohli,ba607b88
info,registry,people,VR Iyer,a24be938
info,registry,people,Vijaykumar Vyshak,54e52590
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,MA Starc,4,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,MA Starc,1,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,MA Starc,1,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,V Kohli,F du Plessis,MA Starc,1,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,MA Starc,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,Harshit Rana,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,Harshit Rana,1,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,Harshit Rana,0,1,1,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,Harshit Rana,1,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,V Kohli,F du Plessis,Harshit Rana,1,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,Harshit Rana,6,0,,,,,,"",""
ball,1,1.7,Royal Challengers Bengaluru,F du Plessis,V Kohli,Harshit Rana,0,0,,,,,,caught,F du Plessis
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,C Green,MA Starc,0,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,C Green,MA Starc,6,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,C Green,MA Starc,4,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,C Green,MA Starc,2,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,V Kohli,C Green,MA Starc,1,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,C Green,V Kohli,MA Starc,4,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,C Green,Harshit Rana,2,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,V Kohli,C Green,Harshit Rana,2,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,V Kohli,C Green,Harshit Rana,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,V Kohli,C Green,Harshit Rana,1,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,C Green,V Kohli,Harshit Rana,0,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,C Green,V Kohli,Harshit Rana,4,0,,,,,,"",""
ball,1,4.1,Royal Challengers Bengaluru,V Kohli,C Green,AS Roy,0,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bengaluru,V Kohli,C Green,AS Roy,1,0,,,,,,"",""
