version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Punjab Kings
info,gender,male
info,season,2025
info,date,2025/04/05
info,event,Indian Premier League
info,match_number,18
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
info,city,Mohali
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,JC Archer
info,umpire,K Swaroopanand
info,umpire,UV Gandhe
info,reserve_umpire,AK Argal
info,tv_umpire,VK Sharma
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_runs,50
info,player,Rajasthan Royals,K Kartikeya
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,PWH de Silva
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,M Theekshana
info,player,Rajasthan Royals,Yudhvir Singh
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Punjab Kings,YS Chahal
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,N Wadhera
info,player,Punjab Kings,GJ Maxwell
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,Suryansh Shedge
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,LH Ferguson
info,registry,people,AK Argal,0ee78cf3
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,JC Archer,5574750c
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Theekshana,f24c6701
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,N Rana,fb2d1dda
info,registry,people,N Wadhera,d1a60072
info,registry,people,P Simran Singh,9418198b
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,Priyansh Arya,b5797845
info,registry,people,R Parag,04a418e8
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SS Iyer,85ec8e33
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shashank Singh,26989d80
info,registry,people,Suryansh Shedge,970ddd24
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yudhvir Singh,4885bbe6
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,1,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,SV Samson,YBK Jaiswal,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,SV Samson,YBK Jaiswal,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,SV Samson,YBK Jaiswal,Arshdeep Singh,3,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.7,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,1,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,SV Samson,YBK Jaiswal,M Jansen,1,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,0,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,0,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,0,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,1,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,2,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,2,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,SV Samson,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,SV Samson,YBK Jaiswal,M Jansen,4,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,SV Samson,YBK Jaiswal,M Jansen,1,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,6,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,6,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,YBK Jaiswal,SV Samson,M Jansen,1,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,SV Samson,YBK Jaiswal,M Jansen,1,0,,,,,,"",""
