version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Delhi Capitals
info,gender,male
info,season,2024
info,date,2024/04/20
info,event,Indian Premier League
info,match_number,35
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,TM Head
info,umpire,J Madanagopal
info,umpire,Navdeep Singh
info,reserve_umpire,K Swaroopanand
info,tv_umpire,Tapan Sharma
info,match_referee,Sanjay Verma
info,winner,Sunrisers Hyderabad
info,winner_runs,67
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,Washington Sundar
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,M Markande
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,Lalit Yadav
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,A Nortje
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,AR Patel,2e171977
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,B Kumar,2e81a32d
info,registry,people,DA Warner,dcce6f09
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,J Madanagopal,8275b04a
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,M Markande,a9fd84fb
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,RR Pant,919a3be2
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,T Natarajan,ce794613
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TM Head,12b610c2
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,Washington Sundar,f19ccfad
ball,1,0.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,KK Ahmed,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,KK Ahmed,6,0,,,,,,"",""
ball,1,0.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,KK Ahmed,4,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,TM Head,Abhishek Sharma,KK Ahmed,4,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,KK Ahmed,1,0,,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,Abhishek Sharma,TM Head,KK Ahmed,4,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,6,0,,,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,6,0,,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,0,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,4,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,1,0,,,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Lalit Yadav,4,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,4,0,,,,,,"",""
ball,1,2.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,4,0,,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,0,0,,,,,,"",""
ball,1,2.4,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,4,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,4,0,,,,,,"",""
ball,1,2.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Nortje,6,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Lalit Yadav,6,0,,,,,,"",""
ball,1,3.2,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Lalit Yadav,0,1,,,,1,,"",""
ball,1,3.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,1,0,,,,,,"",""
ball,1,3.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Lalit Yadav,6,0,,,,,,"",""
ball,1,3.5,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Lalit Yadav,1,0,,,,,,"",""
ball,1,3.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Lalit Yadav,6,0,,,,,,"",""
ball,1,4.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Kuldeep Yadav,6,0,,,,,,"",""
