version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Royal Challengers Bengaluru
info,gender,male
info,season,2025
info,date,2025/04/13
info,event,Indian Premier League
info,match_number,28
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,PD Salt
info,umpire,Nitin Menon
info,umpire,MV Saidharshan Kumar
info,reserve_umpire,HAS Khalid
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,Royal Challengers Bengaluru
info,winner_wickets,9
info,player,Rajasthan Royals,K Kartikeya
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,PWH de Silva
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,M Theekshana
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,TU Deshpande
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Yash Dayal
info,registry,people,B Kumar,2e81a32d
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JM Sharma,800d2d97
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Theekshana,f24c6701
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,N Rana,fb2d1dda
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Parag,04a418e8
info,registry,people,RM Patidar,c740ea83
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Kohli,ba607b88
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,1,,,,1,,"",""
ball,1,0.2,Rajasthan Royals,SV Samson,YBK Jaiswal,B Kumar,1,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,0,,,,,,"",""
ball,1,0.5,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,4,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,SV Samson,YBK Jaiswal,Yash Dayal,0,0,,,,,,"",""
ball,1,1.2,Rajasthan Royals,SV Samson,YBK Jaiswal,Yash Dayal,0,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,SV Samson,YBK Jaiswal,Yash Dayal,2,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,SV Samson,YBK Jaiswal,Yash Dayal,1,0,,,,,,"",""
ball,1,1.5,Rajasthan Royals,YBK Jaiswal,SV Samson,Yash Dayal,0,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,SV Samson,Yash Dayal,4,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,SV Samson,YBK Jaiswal,B Kumar,1,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,4,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,0,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,SV Samson,B Kumar,1,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,SV Samson,YBK Jaiswal,B Kumar,0,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,YBK Jaiswal,SV Samson,JR Hazlewood,4,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,YBK Jaiswal,SV Samson,JR Hazlewood,0,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,YBK Jaiswal,SV Samson,JR Hazlewood,1,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,SV Samson,YBK Jaiswal,JR Hazlewood,0,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,SV Samson,YBK Jaiswal,JR Hazlewood,0,0,,,,,,"",""
ball,1,3.6,Rajasthan Royals,SV Samson,YBK Jaiswal,JR Hazlewood,0,0,,,,,,"",""
ball,1,4.1,Rajasthan Royals,YBK Jaiswal,SV Samson,Yash Dayal,0,0,,,,,,"",""
ball,1,4.2,Rajasthan Royals,YBK Jaiswal,SV Samson,Yash Dayal,6,0,,,,,,"",""
ball,1,4.3,Rajasthan Royals,YBK Jaiswal,SV Samson,Yash Dayal,4,0,,,,,,"",""
