version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Mumbai Indians
info,gender,male
info,season,2024
info,date,2024/05/11
info,event,Indian Premier League
info,match_number,60
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,CV Varun
info,umpire,UV Gandhe
info,umpire,Vinod Seshan
info,reserve_umpire,A Bengeri
info,tv_umpire,MA Gough
info,match_referee,DS Manohar
info,winner,Kolkata Knight Riders
info,winner_runs,18
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,player,Mumbai Indians,N Thushara
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,A Kamboj
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JJ Bumrah
info,registry,people,A Bengeri,c109497d
info,registry,people,A Kamboj,fcc21ace
info,registry,people,AD Russell,bbd41817
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JJ Bumrah,462411b3
info,registry,people,MA Gough,76752ac8
info,registry,people,MA Starc,3fb19989
info,registry,people,N Rana,fb2d1dda
info,registry,people,N Thushara,ee1b6c27
info,registry,people,N Wadhera,d1a60072
info,registry,people,Naman Dhir,fffa744b
info,registry,people,PD Salt,3d284ca3
info,registry,people,PP Chawla,98ae73b1
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,SA Yadav,271f83cd
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,UV Gandhe,43dd4011
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
info,registry,people,Vinod Seshan,a3357a27
ball,1,0.1,Kolkata Knight Riders,PD Salt,SP Narine,N Thushara,6,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,PD Salt,SP Narine,N Thushara,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,PD Salt,SP Narine,N Thushara,0,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,PD Salt,SP Narine,N Thushara,0,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,PD Salt,SP Narine,N Thushara,0,0,,,,,,caught,PD Salt
ball,1,0.6,Kolkata Knight Riders,VR Iyer,SP Narine,N Thushara,4,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,SP Narine,VR Iyer,JJ Bumrah,0,0,,,,,,bowled,SP Narine
ball,1,1.2,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,4,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,0,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,0,1,,,,1,,"",""
ball,1,1.6,Kolkata Knight Riders,VR Iyer,SS Iyer,JJ Bumrah,0,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,SS Iyer,VR Iyer,A Kamboj,0,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,SS Iyer,VR Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,VR Iyer,SS Iyer,A Kamboj,6,0,,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,VR Iyer,SS Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,SS Iyer,VR Iyer,A Kamboj,0,1,1,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,SS Iyer,VR Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,2.7,Kolkata Knight Riders,VR Iyer,SS Iyer,A Kamboj,0,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,0,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,SS Iyer,VR Iyer,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.3,Kolkata Knight Riders,VR Iyer,SS Iyer,JJ Bumrah,4,0,,,,,,"",""
ball,1,3.4,Kolkata Knight Riders,VR Iyer,SS Iyer,JJ Bumrah,6,0,,,,,,"",""
ball,1,3.5,Kolkata Knight Riders,VR Iyer,SS Iyer,JJ Bumrah,0,0,,,,,,"",""
ball,1,3.6,Kolkata Knight Riders,VR Iyer,SS Iyer,JJ Bumrah,4,0,,,,,,"",""
ball,1,4.1,Kolkata Knight Riders,SS Iyer,VR Iyer,A Kamboj,0,0,,,,,,bowled,SS Iyer
ball,1,4.2,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,0,0,,,,,,"",""
ball,1,4.3,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,0,0,,,,,,"",""
ball,1,4.4,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,4,0,,,,,,"",""
ball,1,4.5,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,4.6,Kolkata Knight Riders,VR Iyer,N Rana,A Kamboj,0,0,,,,,,"",""
ball,1,5.1,Kolkata Knight Riders,N Rana,VR Iyer,HH Pandya,0,1,,,,1,,"",""
ball,1,5.2,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,1,0,,,,,,"",""
ball,1,5.3,Kolkata Knight Riders,N Rana,VR Iyer,HH Pandya,0,1,,,,1,,"",""
ball,1,5.4,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,4,0,,,,,,"",""
ball,1,5.5,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,0,0,,,,,,"",""
ball,1,5.6,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,0,0,,,,,,"",""
ball,1,6.1,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,6.2,Kolkata Knight Riders,VR Iyer,N Rana,A Kamboj,4,0,,,,,,"",""
ball,1,6.3,Kolkata Knight Riders,VR Iyer,N Rana,A Kamboj,1,0,,,,,,"",""
ball,1,6.4,Kolkata Knight Riders,N Rana,VR Iyer,A Kamboj,1,0,,,,,,"",""
ball,1,6.5,Kolkata Knight Riders,VR Iyer,N Rana,A Kamboj,2,0,,,,,,"",""
ball,1,6.6,Kolkata Knight Riders,VR Iyer,N Rana,A Kamboj,0,0,,,,,,"",""
ball,1,7.1,Kolkata Knight Riders,N Rana,VR Iyer,HH Pandya,1,0,,,,,,"",""
ball,1,7.2,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,4,0,,,,,,"",""
ball,1,7.3,Kolkata Knight Riders,VR Iyer,N Rana,HH Pandya,1,0,,,,,,"",""
ball,1,7.4,Kolkata Knight Riders,N Rana,VR Iyer,HH Pandya,4,0,,,,,,"",""
