version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Chennai Super Kings
info,gender,male
info,season,2023
info,date,2023/05/29
info,event,Indian Premier League
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,DP Conway
info,umpire,Nitin Menon
info,umpire,RJ Tucker
info,reserve_umpire,J Madanagopal
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,Chennai Super Kings
info,winner_wickets,5
info,method,D/L
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,J Little
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,DA Miller,d67d5f00
info,registry,people,DL Chahar,23eeb873
info,registry,people,DP Conway,df5a6881
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Little,9061a703
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MM Ali,bb351c23
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RJ Tucker,38810cfc
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Shankar,0994d0ae
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,0,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,Shubman Gill,WP Saha,DL Chahar,1,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,0.6,Gujarat Titans,Shubman Gill,WP Saha,DL Chahar,1,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,0,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,1,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,WP Saha,Shubman Gill,TU Deshpande,1,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,1,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,WP Saha,Shubman Gill,TU Deshpande,0,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,WP Saha,Shubman Gill,TU Deshpande,1,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,6,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,0,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,4,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,4,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,2,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,0,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,4,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,4,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,4,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,1,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,WP Saha,Shubman Gill,TU Deshpande,1,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,Shubman Gill,WP Saha,TU Deshpande,0,0,,,,,,"",""
ball,1,4.1,Gujarat Titans,WP Saha,Shubman Gill,DL Chahar,1,0,,,,,,"",""
ball,1,4.2,Gujarat Titans,Shubman Gill,WP Saha,DL Chahar,2,0,,,,,,"",""
