version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Delhi Capitals
info,gender,male
info,season,2024
info,date,2024/04/12
info,event,Indian Premier League
info,match_number,26
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,bat
info,player_of_match,Kuldeep Yadav
info,umpire,R Pandit
info,umpire,YC Barde
info,reserve_umpire,M Krishnadas
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Delhi Capitals
info,winner_wickets,6
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Arshad Khan
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,Yash Thakur
info,player,Delhi Capitals,KK Ahmed
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,Abishek Porel
info,registry,people,A Badoni,872b03f7
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Arshad Khan,12314277
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DA Warner,dcce6f09
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,Q de Kock,372455c4
info,registry,people,R Pandit,8a604384
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SD Hope,1fc6ef83
info,registry,people,T Stubbs,85b3fab2
info,registry,people,YC Barde,b90f3346
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,4,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,0,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,0,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,2,0,,,,,,"",""
ball,1,0.5,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,0,0,,,,,,"",""
ball,1,0.6,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,4,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,KL Rahul,Q de Kock,I Sharma,1,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,Q de Kock,KL Rahul,I Sharma,0,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,Q de Kock,KL Rahul,I Sharma,0,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,Q de Kock,KL Rahul,I Sharma,1,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,KL Rahul,Q de Kock,I Sharma,1,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,Q de Kock,KL Rahul,I Sharma,4,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,KL Rahul,Q de Kock,KK Ahmed,6,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,KL Rahul,Q de Kock,KK Ahmed,1,0,,,,,,"",""
ball,1,2.3,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,4,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,0,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,Q de Kock,KL Rahul,KK Ahmed,0,0,,,,,,lbw,Q de Kock
ball,1,2.6,Lucknow Super Giants,D Padikkal,KL Rahul,KK Ahmed,0,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,KL Rahul,D Padikkal,I Sharma,1,0,,,,,,"",""
ball,1,3.2,Lucknow Super Giants,D Padikkal,KL Rahul,I Sharma,0,1,1,,,,,"",""
ball,1,3.3,Lucknow Super Giants,D Padikkal,KL Rahul,I Sharma,0,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,D Padikkal,KL Rahul,I Sharma,2,0,,,,,,"",""
ball,1,3.5,Lucknow Super Giants,D Padikkal,KL Rahul,I Sharma,0,1,1,,,,,"",""
ball,1,3.6,Lucknow Super Giants,D Padikkal,KL Rahul,I Sharma,1,0,,,,,,"",""
ball,1,3.7,Lucknow Super Giants,KL Rahul,D Padikkal,I Sharma,4,0,,,,,,"",""
ball,1,3.8,Lucknow Super Giants,KL Rahul,D Padikkal,I Sharma,2,0,,,,,,"",""
