version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Lucknow Super Giants
info,gender,male
info,season,2023
info,date,2023/05/13
info,event,Indian Premier League
info,match_number,58
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,bat
info,player_of_match,PN Mankad
info,umpire,A Totre
info,umpire,J Madanagopal
info,reserve_umpire,Mohamad Rafi
info,tv_umpire,YC Barde
info,match_referee,P Dharmani
info,winner,Lucknow Super Giants
info,winner_wickets,7
info,player,Sunrisers Hyderabad,Vivrant Sharma
info,player,Sunrisers Hyderabad,Anmolpreet Singh
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,GD Phillips
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,M Markande
info,player,Sunrisers Hyderabad,Fazalhaq Farooqi
info,player,Lucknow Super Giants,A Mishra
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,PN Mankad
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Yudhvir Singh
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,A Badoni
info,registry,people,A Badoni,872b03f7
info,registry,people,A Mishra,6b19d823
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Anmolpreet Singh,1399b39c
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Kumar,2e81a32d
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Madanagopal,8275b04a
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KR Mayers,73c18486
info,registry,people,M Markande,a9fd84fb
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohamad Rafi,0479de6b
info,registry,people,N Pooran,3241e3fd
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,PN Mankad,663b5e34
info,registry,people,Q de Kock,372455c4
info,registry,people,RA Tripathi,77255a9e
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,T Natarajan,ce794613
info,registry,people,Vivrant Sharma,1b7b0fa7
info,registry,people,YC Barde,b90f3346
info,registry,people,Yash Thakur,4b31f3a3
info,registry,people,Yudhvir Singh,4885bbe6
ball,1,0.1,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,Yudhvir Singh,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,Yudhvir Singh,4,0,,,,,,"",""
ball,1,0.3,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,Yudhvir Singh,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,Yudhvir Singh,1,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,Yudhvir Singh,0,1,1,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,Yudhvir Singh,0,0,,,,,,"",""
ball,1,0.7,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,Yudhvir Singh,2,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,KR Mayers,4,0,,,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,KR Mayers,0,0,,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,KR Mayers,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,KR Mayers,4,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,KR Mayers,1,1,,1,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,KR Mayers,0,0,,,,,,"",""
ball,1,1.7,Sunrisers Hyderabad,Anmolpreet Singh,Abhishek Sharma,KR Mayers,0,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,Abhishek Sharma,Anmolpreet Singh,Yudhvir Singh,0,0,,,,,,caught,Abhishek Sharma
ball,1,2.2,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,Yudhvir Singh,0,0,,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,Yudhvir Singh,0,2,,,,2,,"",""
ball,1,2.4,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,Yudhvir Singh,1,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,Anmolpreet Singh,RA Tripathi,Yudhvir Singh,4,0,,,,,,"",""
ball,1,2.6,Sunrisers Hyderabad,Anmolpreet Singh,RA Tripathi,Yudhvir Singh,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,KH Pandya,4,0,,,,,,"",""
ball,1,3.2,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,KH Pandya,0,0,,,,,,"",""
ball,1,3.3,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,KH Pandya,1,0,,,,,,"",""
