version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Rajasthan Royals
info,gender,male
info,season,2024
info,date,2024/05/07
info,event,Indian Premier League
info,match_number,56
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,Kuldeep Yadav
info,umpire,KN Ananthapadmanabhan
info,umpire,UV Gandhe
info,reserve_umpire,A Bengeri
info,tv_umpire,MA Gough
info,match_referee,DS Manohar
info,winner,Delhi Capitals
info,winner_runs,20
info,player,Delhi Capitals,J Fraser-McGurk
info,player,Delhi Capitals,Abishek Porel
info,player,Delhi Capitals,SD Hope
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,T Stubbs
info,player,Delhi Capitals,Gulbadin Naib
info,player,Delhi Capitals,Rasikh Salam
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,I Sharma
info,player,Delhi Capitals,KK Ahmed
info,player,Rajasthan Royals,YS Chahal
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,R Powell
info,player,Rajasthan Royals,D Ferreira
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,Avesh Khan
info,player,Rajasthan Royals,Sandeep Sharma
info,registry,people,A Bengeri,c109497d
info,registry,people,AR Patel,2e171977
info,registry,people,Abishek Porel,ad3b6e95
info,registry,people,Avesh Khan,eef2536f
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JC Buttler,99b75528
info,registry,people,KK Ahmed,a2f46292
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,MA Gough,76752ac8
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Powell,650d5e49
info,registry,people,RR Pant,919a3be2
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TA Boult,a818c1be
info,registry,people,UV Gandhe,43dd4011
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,2,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,0.4,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,0.5,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,4,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,Abishek Porel,J Fraser-McGurk,Sandeep Sharma,1,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Sandeep Sharma,1,0,,,,,,"",""
ball,1,1.3,Delhi Capitals,Abishek Porel,J Fraser-McGurk,Sandeep Sharma,0,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,Abishek Porel,J Fraser-McGurk,Sandeep Sharma,4,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,Abishek Porel,J Fraser-McGurk,Sandeep Sharma,0,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,Abishek Porel,J Fraser-McGurk,Sandeep Sharma,4,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,6,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,4,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,4,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,0,0,,,,,,"",""
ball,1,2.6,Delhi Capitals,J Fraser-McGurk,Abishek Porel,TA Boult,1,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,4,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,4,0,,,,,,"",""
ball,1,3.3,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,4,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,6,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,4,0,,,,,,"",""
ball,1,3.6,Delhi Capitals,J Fraser-McGurk,Abishek Porel,Avesh Khan,6,0,,,,,,"",""
ball,1,4.1,Delhi Capitals,Abishek Porel,J Fraser-McGurk,R Ashwin,1,0,,,,,,"",""
ball,1,4.2,Delhi Capitals,J Fraser-McGurk,Abishek Porel,R Ashwin,0,0,,,,,,caught,J Fraser-McGurk
ball,1,4.3,Delhi Capitals,SD Hope,Abishek Porel,R Ashwin,1,0,,,,,,"",""
ball,1,4.4,Delhi Capitals,Abishek Porel,SD Hope,R Ashwin,6,0,,,,,,"",""
ball,1,4.5,Delhi Capitals,Abishek Porel,SD Hope,R Ashwin,0,0,,,,,,"",""
ball,1,4.6,Delhi Capitals,Abishek Porel,SD Hope,R Ashwin,1,0,,,,,,"",""
ball,1,5.1,Delhi Capitals,Abishek Porel,SD Hope,Sandeep Sharma,0,0,,,,,,run out,SD Hope
ball,1,5.2,Delhi Capitals,Abishek Porel,AR Patel,Sandeep Sharma,4,0,,,,,,"",""
ball,1,5.3,Delhi Capitals,Abishek Porel,AR Patel,Sandeep Sharma,1,0,,,,,,"",""
ball,1,5.4,Delhi Capitals,AR Patel,Abishek Porel,Sandeep Sharma,0,0,,,,,,"",""
ball,1,5.5,Delhi Capitals,AR Patel,Abishek Porel,Sandeep Sharma,4,0,,,,,,"",""
ball,1,5.6,Delhi Capitals,AR Patel,Abishek Porel,Sandeep Sharma,1,0,,,,,,"",""
ball,1,6.1,Delhi Capitals,AR Patel,Abishek Porel,R Parag,1,0,,,,,,"",""
ball,1,6.2,Delhi Capitals,Abishek Porel,AR Patel,R Parag,4,0,,,,,,"",""
ball,1,6.3,Delhi Capitals,Abishek Porel,AR Patel,R Parag,0,0,,,,,,"",""
ball,1,6.4,Delhi Capitals,Abishek Porel,AR Patel,R Parag,0,0,,,,,,"",""
ball,1,6.5,Delhi Capitals,Abishek Porel,AR Patel,R Parag,0,0,,,,,,"",""
ball,1,6.6,Delhi Capitals,Abishek Porel,AR Patel,R Parag,1,0,,,,,,"",""
ball,1,7.1,Delhi Capitals,Abishek Porel,AR Patel,YS Chahal,6,0,,,,,,"",""
ball,1,7.2,Delhi Capitals,Abishek Porel,AR Patel,YS Chahal,1,0,,,,,,"",""
ball,1,7.3,Delhi Capitals,AR Patel,Abishek Porel,YS Chahal,1,0,,,,,,"",""
ball,1,7.4,Delhi Capitals,Abishek Porel,AR Patel,YS Chahal,0,0,,,,,,"",""
ball,1,7.5,Delhi Capitals,Abishek Porel,AR Patel,YS Chahal,2,0,,,,,,"",""
ball,1,7.6,Delhi Capitals,Abishek Porel,AR Patel,YS Chahal,4,0,,,,,,"",""
ball,1,8.1,Delhi Capitals,AR Patel,Abishek Porel,R Parag,1,0,,,,,,"",""
ball,1,8.2,Delhi Capitals,Abishek Porel,AR Patel,R Parag,1,0,,,,,,"",""
ball,1,8.3,Delhi Capitals,AR Patel,Abishek Porel,R Parag,0,1,1,,,,,"",""
ball,1,8.4,Delhi Capitals,AR Patel,Abishek Porel,R Parag,0,0,,,,,,"",""
ball,1,8.5,Delhi Capitals,AR Patel,Abishek Porel,R Parag,1,0,,,,,,"",""
ball,1,8.6,Delhi Capitals,Abishek Porel,AR Patel,R Parag,1,0,,,,,,"",""
ball,1,8.7,Delhi Capitals,AR Patel,Abishek Porel,R Parag,6,0,,,,,,"",""
ball,1,9.1,Delhi Capitals,Abishek Porel,AR Patel,R Ashwin,1,0,,,,,,"",""
ball,1,9.2,Delhi Capitals,AR Patel,Abishek Porel,R Ashwin,0,0,,,,,,caught,AR Patel
ball,1,9.3,Delhi Capitals,RR Pant,Abishek Porel,R Ashwin,1,0,,,,,,"",""
ball,1,9.4,Delhi Capitals,Abishek Porel,RR Pant,R Ashwin,1,0,,,,,,"",""
ball,1,9.5,Delhi Capitals,RR Pant,Abishek Porel,R Ashwin,1,0,,,,,,"",""
ball,1,9.6,Delhi Capitals,Abishek Porel,RR Pant,R Ashwin,2,0,,,,,,"",""
ball,1,10.1,Delhi Capitals,RR Pant,Abishek Porel,Avesh Khan,1,0,,,,,,"",""
