version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Gujarat Titans
info,gender,male
info,season,2023
info,date,2023/05/23
info,event,Indian Premier League
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,RD Gaikwad
info,umpire,AK Chaudhary
info,umpire,CB Gaffaney
info,reserve_umpire,VK Sharma
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Chennai Super Kings
info,winner_runs,15
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,AT Rayudu
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,MD Shanaka
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,DG Nalkande
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,Mohammed Shami
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DL Chahar,23eeb873
info,registry,people,DP Conway,df5a6881
info,registry,people,HH Pandya,dbe50b21
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MM Ali,bb351c23
info,registry,people,MM Sharma,759ac88f
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Dube,a4e37e47
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Subhransu Senapati,0edcb652
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Shankar,0994d0ae
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,2,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,1,,,,1,,"",""
ball,1,0.6,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,1,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,DP Conway,RD Gaikwad,DG Nalkande,1,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,0,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,0,1,,1,,,,"",""
ball,1,1.4,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,6,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,4,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,2,0,,,,,,"",""
ball,1,1.7,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,0,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,DP Conway,RD Gaikwad,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,4,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,DP Conway,RD Gaikwad,DG Nalkande,0,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,DP Conway,RD Gaikwad,DG Nalkande,3,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,0,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,RD Gaikwad,DP Conway,DG Nalkande,1,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,DP Conway,RD Gaikwad,DG Nalkande,0,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,DP Conway,RD Gaikwad,DG Nalkande,4,0,,,,,,"",""
