version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Rajasthan Royals
info,gender,male
info,season,2025
info,date,2025/04/28
info,event,Indian Premier League
info,match_number,47
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,V Suryavanshi
info,umpire,MA Gough
info,umpire,VK Sharma
info,reserve_umpire,Abhijit Bhattacharya
info,tv_umpire,UV Gandhe
info,match_referee,R Seth
info,winner,Rajasthan Royals
info,winner_wickets,8
info,player,Gujarat Titans,I Sharma
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,Karim Janat
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,V Suryavanshi
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,PWH de Silva
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,M Theekshana
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,Yudhvir Singh
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,Karim Janat,62175638
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Rana,fb2d1dda
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Parag,04a418e8
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Seth,540a44ba
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shubman Gill,b4b99816
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Suryavanshi,470f446b
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,Yudhvir Singh,4885bbe6
ball,1,0.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,1,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,JC Archer,0,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,JC Archer,1,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,0,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,0,0,,,,,,"",""
ball,1,0.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,4,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,M Theekshana,2,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,Shubman Gill,B Sai Sudharsan,M Theekshana,2,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,M Theekshana,1,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,B Sai Sudharsan,Shubman Gill,M Theekshana,4,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,M Theekshana,1,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,M Theekshana,1,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Yudhvir Singh,1,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,Yudhvir Singh,1,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Yudhvir Singh,0,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Yudhvir Singh,0,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Yudhvir Singh,4,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,Shubman Gill,B Sai Sudharsan,Yudhvir Singh,4,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,0,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,1,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,Shubman Gill,B Sai Sudharsan,JC Archer,4,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,Shubman Gill,B Sai Sudharsan,JC Archer,1,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,4,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,B Sai Sudharsan,Shubman Gill,JC Archer,1,0,,,,,,"",""
