version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Mumbai Indians
info,gender,male
info,season,2024
info,date,2024/05/17
info,event,Indian Premier League
info,match_number,67
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,N Pooran
info,umpire,Navdeep Singh
info,umpire,R Pandit
info,reserve_umpire,K Swaroopanand
info,tv_umpire,J Madanagopal
info,match_referee,P Dharmani
info,winner,Lucknow Super Giants
info,winner_runs,18
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,Arshad Khan
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,MJ Henry
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Mumbai Indians,N Thushara
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,D Brevis
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,R Shepherd
info,player,Mumbai Indians,A Kamboj
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,Arjun Tendulkar
info,registry,people,A Badoni,872b03f7
info,registry,people,A Kamboj,fcc21ace
info,registry,people,Arjun Tendulkar,44aac2f0
info,registry,people,Arshad Khan,12314277
info,registry,people,D Brevis,844e79d1
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,N Thushara,ee1b6c27
info,registry,people,N Wadhera,d1a60072
info,registry,people,Naman Dhir,fffa744b
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Pandit,8a604384
info,registry,people,R Shepherd,c5aef772
info,registry,people,RG Sharma,740742ef
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
ball,1,0.1,Lucknow Super Giants,KL Rahul,D Padikkal,N Thushara,0,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,KL Rahul,D Padikkal,N Thushara,1,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,D Padikkal,KL Rahul,N Thushara,0,0,,,,,,lbw,D Padikkal
ball,1,0.4,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,0,1,1,,,,,"",""
ball,1,0.5,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,0,1,1,,,,,"",""
ball,1,0.6,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,1,0,,,,,,"",""
ball,1,0.7,Lucknow Super Giants,KL Rahul,MP Stoinis,N Thushara,0,0,,,,,,"",""
ball,1,0.8,Lucknow Super Giants,KL Rahul,MP Stoinis,N Thushara,0,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,2,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,1,1,,,,,"",""
ball,1,1.7,Lucknow Super Giants,MP Stoinis,KL Rahul,Arjun Tendulkar,0,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,KL Rahul,MP Stoinis,N Thushara,1,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,4,0,,,,,,"",""
ball,1,2.3,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,0,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,0,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,MP Stoinis,KL Rahul,N Thushara,1,0,,,,,,"",""
ball,1,2.6,Lucknow Super Giants,KL Rahul,MP Stoinis,N Thushara,1,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,KL Rahul,MP Stoinis,A Kamboj,1,0,,,,,,"",""
ball,1,3.2,Lucknow Super Giants,MP Stoinis,KL Rahul,A Kamboj,0,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,MP Stoinis,KL Rahul,A Kamboj,4,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,MP Stoinis,KL Rahul,A Kamboj,4,0,,,,,,"",""
