version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2024
info,date,2024/04/05
info,event,Indian Premier League
info,match_number,18
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,field
info,player_of_match,Abhishek Sharma
info,umpire,R Pandit
info,umpire,YC Barde
info,reserve_umpire,M Krishnadas
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Sunrisers Hyderabad
info,winner_wickets,6
info,player,Chennai Super Kings,Mukesh Choudhary
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,DL Chahar
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,M Markande
info,player,Sunrisers Hyderabad,JD Unadkat
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rahane,29e95537
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Kumar,2e81a32d
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DL Chahar,23eeb873
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JD Unadkat,1e66c162
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Markande,a9fd84fb
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Theekshana,f24c6701
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mukesh Choudhary,765a4731
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Pandit,8a604384
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Dube,a4e37e47
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,T Natarajan,ce794613
info,registry,people,TM Head,12b610c2
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,YC Barde,b90f3346
ball,1,0.1,Chennai Super Kings,R Ravindra,RD Gaikwad,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,RD Gaikwad,R Ravindra,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,R Ravindra,RD Gaikwad,Abhishek Sharma,4,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,R Ravindra,RD Gaikwad,Abhishek Sharma,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,R Ravindra,RD Gaikwad,Abhishek Sharma,1,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,RD Gaikwad,R Ravindra,Abhishek Sharma,0,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,R Ravindra,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,R Ravindra,RD Gaikwad,B Kumar,1,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,RD Gaikwad,R Ravindra,B Kumar,4,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,RD Gaikwad,R Ravindra,B Kumar,0,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,RD Gaikwad,R Ravindra,B Kumar,0,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,RD Gaikwad,R Ravindra,B Kumar,1,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,RD Gaikwad,R Ravindra,T Natarajan,2,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,RD Gaikwad,R Ravindra,T Natarajan,0,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,R Ravindra,T Natarajan,1,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,R Ravindra,RD Gaikwad,T Natarajan,4,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,R Ravindra,RD Gaikwad,T Natarajan,1,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,RD Gaikwad,R Ravindra,T Natarajan,4,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,R Ravindra,RD Gaikwad,B Kumar,0,0,,,,,,caught,R Ravindra
ball,1,3.2,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,0,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,AM Rahane,RD Gaikwad,B Kumar,1,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,RD Gaikwad,AM Rahane,B Kumar,0,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,RD Gaikwad,AM Rahane,B Kumar,0,0,,,,,,"",""
ball,1,4.1,Chennai Super Kings,AM Rahane,RD Gaikwad,PJ Cummins,0,0,,,,,,"",""
ball,1,4.2,Chennai Super Kings,AM Rahane,RD Gaikwad,PJ Cummins,6,0,,,,,,"",""
