version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Punjab Kings
info,gender,male
info,season,2025
info,date,2025/04/18
info,event,Indian Premier League
info,match_number,34
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,TH David
info,umpire,UV Gandhe
info,umpire,VK Sharma
info,reserve_umpire,K Swaroopanand
info,tv_umpire,MA Gough
info,match_referee,V Narayan Kutty
info,winner,Punjab Kings
info,winner_wickets,5
info,player,Royal Challengers Bengaluru,PD Salt
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,LS Livingstone
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,MS Bhandage
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Punjab Kings,YS Chahal
info,player,Punjab Kings,Priyansh Arya
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,SS Iyer
info,player,Punjab Kings,JP Inglis
info,player,Punjab Kings,N Wadhera
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,MP Stoinis
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,M Jansen
info,player,Punjab Kings,XC Bartlett
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JM Sharma,800d2d97
info,registry,people,JP Inglis,989889ff
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KH Pandya,5b8c830e
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Jansen,81c36ee9
info,registry,people,MA Gough,76752ac8
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MS Bhandage,e96801ea
info,registry,people,N Wadhera,d1a60072
info,registry,people,P Simran Singh,9418198b
info,registry,people,PD Salt,3d284ca3
info,registry,people,Priyansh Arya,b5797845
info,registry,people,RM Patidar,c740ea83
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shashank Singh,26989d80
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,UV Gandhe,43dd4011
info,registry,people,V Kohli,ba607b88
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Sharma,a7a49df4
info,registry,people,XC Bartlett,3b53243a
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,PD Salt,V Kohli,Arshdeep Singh,0,0,,,,,,caught,PD Salt
ball,1,0.5,Royal Challengers Bengaluru,RM Patidar,V Kohli,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,RM Patidar,V Kohli,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,2,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,6,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,RM Patidar,V Kohli,XC Bartlett,2,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,RM Patidar,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,RM Patidar,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,RM Patidar,V Kohli,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,RM Patidar,Arshdeep Singh,0,0,,,,,,caught,V Kohli
ball,1,2.5,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,RM Patidar,LS Livingstone,XC Bartlett,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,RM Patidar,LS Livingstone,XC Bartlett,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,XC Bartlett,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,XC Bartlett,4,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,XC Bartlett,0,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,LS Livingstone,RM Patidar,XC Bartlett,0,0,,,,,,caught,LS Livingstone
ball,1,4.1,Royal Challengers Bengaluru,RM Patidar,JM Sharma,M Jansen,1,0,,,,,,"",""
ball,1,4.2,Royal Challengers Bengaluru,JM Sharma,RM Patidar,M Jansen,0,0,,,,,,"",""
ball,1,4.3,Royal Challengers Bengaluru,JM Sharma,RM Patidar,M Jansen,1,0,,,,,,"",""
ball,1,4.4,Royal Challengers Bengaluru,RM Patidar,JM Sharma,M Jansen,1,0,,,,,,"",""
ball,1,4.5,Royal Challengers Bengaluru,JM Sharma,RM Patidar,M Jansen,0,0,,,,,,"",""
ball,1,4.6,Royal Challengers Bengaluru,JM Sharma,RM Patidar,M Jansen,0,0,,,,,,"",""
ball,1,5.1,Royal Challengers Bengaluru,RM Patidar,JM Sharma,YS Chahal,1,0,,,,,,"",""
ball,1,5.2,Royal Challengers Bengaluru,JM Sharma,RM Patidar,YS Chahal,0,0,,,,,,"",""
ball,1,5.3,Royal Challengers Bengaluru,JM Sharma,RM Patidar,YS Chahal,1,0,,,,,,"",""
ball,1,5.4,Royal Challengers Bengaluru,RM Patidar,JM Sharma,YS Chahal,1,0,,,,,,"",""
ball,1,5.5,Royal Challengers Bengaluru,JM Sharma,RM Patidar,YS Chahal,0,0,,,,,,caught,JM Sharma
ball,1,5.6,Royal Challengers Bengaluru,KH Pandya,RM Patidar,YS Chahal,1,0,,,,,,"",""
ball,1,6.1,Royal Challengers Bengaluru,KH Pandya,RM Patidar,M Jansen,0,0,,,,,,caught and bowled,KH Pandya
ball,1,6.2,Royal Challengers Bengaluru,TH David,RM Patidar,M Jansen,4,0,,,,,,"",""
ball,1,6.3,Royal Challengers Bengaluru,TH David,RM Patidar,M Jansen,1,0,,,,,,"",""
ball,1,6.4,Royal Challengers Bengaluru,RM Patidar,TH David,M Jansen,1,0,,,,,,"",""
ball,1,6.5,Royal Challengers Bengaluru,TH David,RM Patidar,M Jansen,0,0,,,,,,"",""
ball,1,6.6,Royal Challengers Bengaluru,TH David,RM Patidar,M Jansen,0,0,,,,,,"",""
ball,1,7.1,Royal Challengers Bengaluru,RM Patidar,TH David,YS Chahal,1,0,,,,,,"",""
ball,1,7.2,Royal Challengers Bengaluru,TH David,RM Patidar,YS Chahal,0,0,,,,,,"",""
ball,1,7.3,Royal Challengers Bengaluru,TH David,RM Patidar,YS Chahal,1,0,,,,,,"",""
ball,1,7.4,Royal Challengers Bengaluru,RM Patidar,TH David,YS Chahal,0,0,,,,,,caught,RM Patidar
ball,1,7.5,Royal Challengers Bengaluru,MS Bhandage,TH David,YS Chahal,0,0,,,,,,"",""
