version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Mumbai Indians
info,gender,male
info,season,2023
info,date,2023/05/26
info,event,Indian Premier League
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,Shubman Gill
info,umpire,Nitin Menon
info,umpire,RJ Tucker
info,reserve_umpire,KN Ananthapadmanabhan
info,tv_umpire,J Madanagopal
info,match_referee,J Srinath
info,winner,Gujarat Titans
info,winner_runs,62
info,player,Gujarat Titans,J Little
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,MM Sharma
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,Akash Madhwal
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,N Wadhera
info,player,Mumbai Indians,C Green
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,Vishnu Vinod
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,CJ Jordan
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,K Kartikeya
info,player,Mumbai Indians,JP Behrendorff
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,C Green,eaa76d3c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Miller,d67d5f00
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Little,9061a703
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JP Behrendorff,4933f499
info,registry,people,K Kartikeya,f6d8a7ab
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Wadhera,d1a60072
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Shankar,0994d0ae
info,registry,people,Vishnu Vinod,0494fa6e
info,registry,people,WP Saha,fe11caa6
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.3,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.6,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,WP Saha,Shubman Gill,C Green,0,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,WP Saha,Shubman Gill,C Green,1,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,Shubman Gill,WP Saha,C Green,3,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,WP Saha,Shubman Gill,C Green,1,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,Shubman Gill,WP Saha,C Green,4,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,Shubman Gill,WP Saha,C Green,1,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,4,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,WP Saha,Shubman Gill,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,Shubman Gill,WP Saha,Akash Madhwal,2,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,Shubman Gill,WP Saha,Akash Madhwal,0,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,Shubman Gill,WP Saha,Akash Madhwal,0,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,Shubman Gill,WP Saha,Akash Madhwal,1,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,WP Saha,Shubman Gill,Akash Madhwal,0,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,WP Saha,Shubman Gill,Akash Madhwal,4,0,,,,,,"",""
ball,1,4.1,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,0,0,,,,,,"",""
ball,1,4.2,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,4,0,,,,,,"",""
ball,1,4.3,Gujarat Titans,Shubman Gill,WP Saha,JP Behrendorff,1,0,,,,,,"",""
