version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Mumbai Indians
info,gender,male
info,season,2024
info,date,2024/05/06
info,event,Indian Premier League
info,match_number,55
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,SA Yadav
info,umpire,Navdeep Singh
info,umpire,Tapan Sharma
info,reserve_umpire,K Kelkar
info,tv_umpire,J Madanagopal
info,match_referee,P Dharmani
info,winner,Mumbai Indians
info,winner_wickets,7
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,MA Agarwal
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,M Jansen
info,player,Sunrisers Hyderabad,Shahbaz Ahmed
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,Sanvir Singh
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,A Kamboj
info,player,Mumbai Indians,PP Chawla
info,player,Mumbai Indians,JJ Bumrah
info,player,Mumbai Indians,N Thushara
info,registry,people,A Kamboj,fcc21ace
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,B Kumar,2e81a32d
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JJ Bumrah,462411b3
info,registry,people,K Kelkar,1d88908d
info,registry,people,M Jansen,81c36ee9
info,registry,people,MA Agarwal,00ea847a
info,registry,people,N Thushara,ee1b6c27
info,registry,people,Naman Dhir,fffa744b
info,registry,people,Navdeep Singh,a3e3d8a4
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,P Dharmani,eaa90ab4
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PP Chawla,98ae73b1
info,registry,people,RG Sharma,740742ef
info,registry,people,SA Yadav,271f83cd
info,registry,people,Sanvir Singh,b0f2baf4
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,T Natarajan,ce794613
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,Tapan Sharma,b9aa2b6e
info,registry,people,Tilak Varma,b0482a1d
ball,1,0.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,0,2,2,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,Abhishek Sharma,TM Head,N Thushara,0,0,,,,,,"",""
ball,1,0.3,Sunrisers Hyderabad,Abhishek Sharma,TM Head,N Thushara,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,N Thushara,1,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,0,0,,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,0,0,,,,,,"",""
ball,1,0.7,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,4,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,A Kamboj,0,1,1,,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,Abhishek Sharma,TM Head,A Kamboj,1,0,,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Kamboj,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,A Kamboj,0,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,Abhishek Sharma,TM Head,A Kamboj,6,0,,,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,Abhishek Sharma,TM Head,A Kamboj,0,1,,,,1,,"",""
ball,1,1.7,Sunrisers Hyderabad,TM Head,Abhishek Sharma,A Kamboj,4,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,N Thushara,0,1,,,,1,,"",""
ball,1,2.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,0,0,,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,1,0,,,,,,"",""
ball,1,2.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,N Thushara,1,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,4,0,,,,,,"",""
ball,1,2.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,N Thushara,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.3,Sunrisers Hyderabad,Abhishek Sharma,TM Head,JJ Bumrah,1,0,,,,,,"",""
ball,1,3.4,Sunrisers Hyderabad,TM Head,Abhishek Sharma,JJ Bumrah,1,0,,,,,,"",""
