version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Mumbai Indians
info,gender,male
info,season,2025
info,date,2025/04/20
info,event,Indian Premier League
info,match_number,38
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Mumbai Indians
info,toss_decision,field
info,player_of_match,RG Sharma
info,umpire,Abhijit Bhattacharya
info,umpire,VK Sharma
info,reserve_umpire,K Swaroopanand
info,tv_umpire,MA Gough
info,match_referee,V Narayan Kutty
info,winner,Mumbai Indians
info,winner_wickets,9
info,player,Chennai Super Kings,R Ashwin
info,player,Chennai Super Kings,SK Rasheed
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,A Mhatre
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,J Overton
info,player,Chennai Super Kings,V Shankar
info,player,Chennai Super Kings,Noor Ahmad
info,player,Chennai Super Kings,KK Ahmed
info,player,Chennai Super Kings,M Pathirana
info,player,Mumbai Indians,Ashwani Kumar
info,player,Mumbai Indians,RD Rickelton
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,WG Jacks
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,MJ Santner
info,player,Mumbai Indians,DL Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,JJ Bumrah
info,registry,people,A Mhatre,b2b4f545
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Ashwani Kumar,d45c29b1
info,registry,people,DL Chahar,23eeb873
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Overton,59559bc2
info,registry,people,JJ Bumrah,462411b3
info,registry,people,K Swaroopanand,aa2a4962
info,registry,people,KK Ahmed,a2f46292
info,registry,people,M Pathirana,64839cb3
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Naman Dhir,fffa744b
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RG Sharma,740742ef
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SK Rasheed,cbf58a86
info,registry,people,TA Boult,a818c1be
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,V Shankar,0994d0ae
info,registry,people,VK Sharma,a7a49df4
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,0,0,,,,,,"",""
ball,1,0.2,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,0,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,1,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,R Ravindra,SK Rasheed,DL Chahar,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,R Ravindra,SK Rasheed,DL Chahar,1,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,2,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,0,0,,,,,,"",""
ball,1,1.2,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,2,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,2,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,0,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,0,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,R Ravindra,SK Rasheed,TA Boult,0,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,0,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,0,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,2,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,2,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,0,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,SK Rasheed,R Ravindra,DL Chahar,4,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,R Ravindra,SK Rasheed,Ashwani Kumar,0,0,,,,,,caught,R Ravindra
ball,1,3.2,Chennai Super Kings,A Mhatre,SK Rasheed,Ashwani Kumar,1,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,SK Rasheed,A Mhatre,Ashwani Kumar,1,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,A Mhatre,SK Rasheed,Ashwani Kumar,4,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,A Mhatre,SK Rasheed,Ashwani Kumar,6,0,,,,,,"",""
ball,1,3.6,Chennai Super Kings,A Mhatre,SK Rasheed,Ashwani Kumar,6,0,,,,,,"",""
ball,1,4.1,Chennai Super Kings,SK Rasheed,A Mhatre,DL Chahar,1,0,,,,,,"",""
