version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Royal Challengers Bengaluru
info,gender,male
info,season,2024
info,date,2024/04/02
info,event,Indian Premier League
info,match_number,15
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,MP Yadav
info,umpire,J Madanagopal
info,umpire,NA Patwardhan
info,reserve_umpire,PM Joshi
info,tv_umpire,AG Wharf
info,match_referee,V Narayan Kutty
info,winner,Lucknow Super Giants
info,winner_runs,28
info,player,Lucknow Super Giants,M Siddharth
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,D Padikkal
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,player,Lucknow Super Giants,MP Yadav
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,GJ Maxwell
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,Anuj Rawat
info,player,Royal Challengers Bengaluru,MK Lomror
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,Mayank Dagar
info,player,Royal Challengers Bengaluru,RJW Topley
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,registry,people,A Badoni,872b03f7
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,Anuj Rawat,c8f5f961
info,registry,people,C Green,eaa76d3c
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,J Madanagopal,8275b04a
info,registry,people,KD Karthik,c03f1114
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,M Siddharth,cf0ccafa
info,registry,people,MK Lomror,da934ee8
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MP Yadav,b1ad996b
info,registry,people,Mayank Dagar,a457cfb5
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Pooran,3241e3fd
info,registry,people,NA Patwardhan,e6ef687d
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,Q de Kock,372455c4
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RM Patidar,c740ea83
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,V Kohli,ba607b88
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Yash Dayal,7210d461
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,0,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,0,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,4,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,0,0,,,,,,"",""
ball,1,0.5,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,4,0,,,,,,"",""
ball,1,0.6,Lucknow Super Giants,Q de Kock,KL Rahul,RJW Topley,4,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,0,0,,,,,,"",""
ball,1,1.2,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,1,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,4,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,0,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,1,0,,,,,,"",""
ball,1,1.6,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,1,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,KL Rahul,Q de Kock,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,KL Rahul,Q de Kock,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.3,Lucknow Super Giants,Q de Kock,KL Rahul,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,Q de Kock,KL Rahul,Mohammed Siraj,6,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,Q de Kock,KL Rahul,Mohammed Siraj,6,0,,,,,,"",""
ball,1,2.6,Lucknow Super Giants,Q de Kock,KL Rahul,Mohammed Siraj,0,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,KL Rahul,Q de Kock,GJ Maxwell,0,1,1,,,,,"",""
ball,1,3.2,Lucknow Super Giants,KL Rahul,Q de Kock,GJ Maxwell,1,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,Q de Kock,KL Rahul,GJ Maxwell,1,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,KL Rahul,Q de Kock,GJ Maxwell,0,0,,,,,,"",""
ball,1,3.5,Lucknow Super Giants,KL Rahul,Q de Kock,GJ Maxwell,0,0,,,,,,"",""
ball,1,3.6,Lucknow Super Giants,KL Rahul,Q de Kock,GJ Maxwell,1,0,,,,,,"",""
ball,1,3.7,Lucknow Super Giants,Q de Kock,KL Rahul,GJ Maxwell,0,0,,,,,,"",""
ball,1,4.1,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,1,0,,,,,,"",""
ball,1,4.2,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,0,0,,,,,,"",""
ball,1,4.3,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,0,0,,,,,,"",""
ball,1,4.4,Lucknow Super Giants,Q de Kock,KL Rahul,Yash Dayal,1,0,,,,,,"",""
ball,1,4.5,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,6,0,,,,,,"",""
ball,1,4.6,Lucknow Super Giants,KL Rahul,Q de Kock,Yash Dayal,2,0,,,,,,"",""
ball,1,5.1,Lucknow Super Giants,Q de Kock,KL Rahul,GJ Maxwell,1,0,,,,,,"",""
