version,1.7.0
info,balls_per_over,6
info,team,Lucknow Super Giants
info,team,Gujarat Titans
info,gender,male
info,season,2025
info,date,2025/05/22
info,event,Indian Premier League
info,match_number,64
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,MR Marsh
info,umpire,KN Ananthapadmanabhan
info,umpire,M Krishnadas
info,reserve_umpire,KM Gandhi
info,tv_umpire,Nitin Menon
info,match_referee,Amit Sharma
info,winner,Lucknow Super Giants
info,winner_runs,33
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,Himmat Singh
info,player,Lucknow Super Giants,Shahbaz Ahmed
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,Akash Deep
info,player,Lucknow Super Giants,W O'Rourke
info,player,Lucknow Super Giants,Akash Singh
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,SE Rutherford
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,R Sai Kishore
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,M Prasidh Krishna
info,registry,people,A Badoni,872b03f7
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Akash Deep,0a67aec0
info,registry,people,Akash Singh,b483905d
info,registry,people,Amit Sharma,7ea3e0cc
info,registry,people,Arshad Khan,12314277
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Himmat Singh,ebcfef83
info,registry,people,JC Buttler,99b75528
info,registry,people,K Rabada,e62dd25d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Krishnadas,e298c588
info,registry,people,M Prasidh Krishna,85e0cf10
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,N Pooran,3241e3fd
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RR Pant,919a3be2
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Shahbaz Ahmed,f9e6e7ef
info,registry,people,Shubman Gill,b4b99816
info,registry,people,W O'Rourke,cb9b8664
ball,1,0.1,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,4,0,,,,,,"",""
ball,1,0.2,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.3,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,1,0,,,,,,"",""
ball,1,0.4,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,0.5,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,1,1,,,,,"",""
ball,1,0.6,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,1,0,,,,,,"",""
ball,1,0.7,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,1,0,,,,,,"",""
ball,1,1.1,Lucknow Super Giants,AK Markram,MR Marsh,Arshad Khan,0,1,1,,,,,"",""
ball,1,1.2,Lucknow Super Giants,AK Markram,MR Marsh,Arshad Khan,4,0,,,,,,"",""
ball,1,1.3,Lucknow Super Giants,AK Markram,MR Marsh,Arshad Khan,1,0,,,,,,"",""
ball,1,1.4,Lucknow Super Giants,MR Marsh,AK Markram,Arshad Khan,6,0,,,,,,"",""
ball,1,1.5,Lucknow Super Giants,MR Marsh,AK Markram,Arshad Khan,0,1,,,,1,,"",""
ball,1,1.6,Lucknow Super Giants,AK Markram,MR Marsh,Arshad Khan,1,0,,,,,,"",""
ball,1,1.7,Lucknow Super Giants,MR Marsh,AK Markram,Arshad Khan,0,0,,,,,,"",""
ball,1,2.1,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,2,0,,,,,,"",""
ball,1,2.2,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,1,0,,,,,,"",""
ball,1,2.3,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.4,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.5,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,2.6,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,1,0,,,,,,"",""
ball,1,3.1,Lucknow Super Giants,MR Marsh,AK Markram,K Rabada,2,0,,,,,,"",""
ball,1,3.2,Lucknow Super Giants,MR Marsh,AK Markram,K Rabada,4,0,,,,,,"",""
ball,1,3.3,Lucknow Super Giants,MR Marsh,AK Markram,K Rabada,1,0,,,,,,"",""
ball,1,3.4,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,0,0,,,,,,"",""
ball,1,3.5,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,0,0,,,,,,"",""
ball,1,3.6,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,0,0,,,,,,"",""
ball,1,4.1,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,4.2,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,4.3,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,4,0,,,,,,"",""
ball,1,4.4,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,0,0,,,,,,"",""
ball,1,4.5,Lucknow Super Giants,MR Marsh,AK Markram,Mohammed Siraj,1,0,,,,,,"",""
ball,1,4.6,Lucknow Super Giants,AK Markram,MR Marsh,Mohammed Siraj,0,0,,,,,,"",""
ball,1,5.1,Lucknow Super Giants,MR Marsh,AK Markram,K Rabada,1,0,,,,,,"",""
ball,1,5.2,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,6,0,,,,,,"",""
ball,1,5.3,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,6,0,,,,,,"",""
ball,1,5.4,Lucknow Super Giants,AK Markram,MR Marsh,K Rabada,1,0,,,,,,"",""
