version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Rajasthan Royals
info,gender,male
info,season,2025
info,date,2025/03/23
info,event,Indian Premier League
info,match_number,2
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,Ishan Kishan
info,umpire,AT Holdstock
info,umpire,A Totre
info,reserve_umpire,K Kelkar
info,tv_umpire,R Pandit
info,match_referee,Shakti Singh
info,winner,Sunrisers Hyderabad
info,winner_runs,44
info,player,Sunrisers Hyderabad,A Zampa
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,TM Head
info,player,Sunrisers Hyderabad,Ishan Kishan
info,player,Sunrisers Hyderabad,Nithish Kumar Reddy
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Aniket Verma
info,player,Sunrisers Hyderabad,A Manohar
info,player,Sunrisers Hyderabad,PJ Cummins
info,player,Sunrisers Hyderabad,Simarjeet Singh
info,player,Sunrisers Hyderabad,HV Patel
info,player,Sunrisers Hyderabad,Mohammed Shami
info,player,Rajasthan Royals,Fazalhaq Farooqi
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,N Rana
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,SB Dubey
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,M Theekshana
info,player,Rajasthan Royals,TU Deshpande
info,player,Rajasthan Royals,Sandeep Sharma
info,registry,people,A Manohar,0890552f
info,registry,people,A Totre,b1d7d7bc
info,registry,people,A Zampa,14f96089
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Aniket Verma,a3b0600d
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HV Patel,f986ca1a
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Archer,5574750c
info,registry,people,K Kelkar,1d88908d
info,registry,people,M Theekshana,f24c6701
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Rana,fb2d1dda
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,PJ Cummins,ded9240e
info,registry,people,R Pandit,8a604384
info,registry,people,R Parag,04a418e8
info,registry,people,SB Dubey,6b2ff18f
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shakti Singh,eb90d319
info,registry,people,Simarjeet Singh,30df8c66
info,registry,people,TM Head,12b610c2
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.3,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,0,1,,1,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,0,1,1,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,2,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,0,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,0,0,,,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,4,0,,,,,,"",""
ball,1,1.7,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,6,0,,,,,,"",""
ball,1,1.8,Sunrisers Hyderabad,TM Head,Abhishek Sharma,M Theekshana,0,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.2,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.4,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,2,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,Abhishek Sharma,TM Head,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,2.6,Sunrisers Hyderabad,TM Head,Abhishek Sharma,Fazalhaq Farooqi,6,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,Abhishek Sharma,TM Head,M Theekshana,0,0,,,,,,caught,Abhishek Sharma
ball,1,3.2,Sunrisers Hyderabad,Ishan Kishan,TM Head,M Theekshana,0,0,,,,,,"",""
ball,1,3.3,Sunrisers Hyderabad,Ishan Kishan,TM Head,M Theekshana,4,0,,,,,,"",""
ball,1,3.4,Sunrisers Hyderabad,Ishan Kishan,TM Head,M Theekshana,4,0,,,,,,"",""
