version,1.7.0
info,balls_per_over,6
info,team,Kolkata Knight Riders
info,team,Lucknow Super Giants
info,gender,male
info,season,2024
info,date,2024/05/05
info,event,Indian Premier League
info,match_number,54
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,SP Narine
info,umpire,MV Saidharshan Kumar
info,umpire,YC Barde
info,reserve_umpire,R Rajesh Kannan
info,tv_umpire,AK Chaudhary
info,match_referee,Shakti Singh
info,winner,Kolkata Knight Riders
info,winner_runs,98
info,player,Kolkata Knight Riders,VG Arora
info,player,Kolkata Knight Riders,PD Salt
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,A Raghuvanshi
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,RK Singh
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,Ramandeep Singh
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,MA Starc
info,player,Kolkata Knight Riders,Harshit Rana
info,player,Kolkata Knight Riders,CV Varun
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,AA Kulkarni
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,AJ Turner
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Yudhvir Singh
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Naveen-ul-Haq
info,registry,people,A Badoni,872b03f7
info,registry,people,A Raghuvanshi,d7017798
info,registry,people,AA Kulkarni,2d140b79
info,registry,people,AD Russell,bbd41817
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,Harshit Rana,77b1aa15
info,registry,people,K Gowtham,90de905a
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,MA Starc,3fb19989
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MV Saidharshan Kumar,54b6007b
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Rajesh Kannan,c9062c3e
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ramandeep Singh,be24ead0
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shakti Singh,eb90d319
info,registry,people,VG Arora,7c3b3b78
info,registry,people,VR Iyer,a24be938
info,registry,people,YC Barde,b90f3346
info,registry,people,Yash Thakur,4b31f3a3
info,registry,people,Yudhvir Singh,4885bbe6
ball,1,0.1,Kolkata Knight Riders,PD Salt,SP Narine,MP Stoinis,4,0,,,,,,"",""
ball,1,0.2,Kolkata Knight Riders,PD Salt,SP Narine,MP Stoinis,0,0,,,,,,"",""
ball,1,0.3,Kolkata Knight Riders,PD Salt,SP Narine,MP Stoinis,4,0,,,,,,"",""
ball,1,0.4,Kolkata Knight Riders,PD Salt,SP Narine,MP Stoinis,1,0,,,,,,"",""
ball,1,0.5,Kolkata Knight Riders,SP Narine,PD Salt,MP Stoinis,0,0,,,,,,"",""
ball,1,0.6,Kolkata Knight Riders,SP Narine,PD Salt,MP Stoinis,1,0,,,,,,"",""
ball,1,1.1,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,1,0,,,,,,"",""
ball,1,1.2,Kolkata Knight Riders,PD Salt,SP Narine,Mohsin Khan,0,0,,,,,,"",""
ball,1,1.3,Kolkata Knight Riders,PD Salt,SP Narine,Mohsin Khan,6,0,,,,,,"",""
ball,1,1.4,Kolkata Knight Riders,PD Salt,SP Narine,Mohsin Khan,1,0,,,,,,"",""
ball,1,1.5,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,0,0,,,,,,"",""
ball,1,1.6,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,0,0,,,,,,"",""
ball,1,2.1,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,2.2,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,2.3,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,2,0,,,,,,"",""
ball,1,2.4,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,2.5,Kolkata Knight Riders,SP Narine,PD Salt,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,2.6,Kolkata Knight Riders,SP Narine,PD Salt,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,3.1,Kolkata Knight Riders,PD Salt,SP Narine,Mohsin Khan,1,0,,,,,,"",""
ball,1,3.2,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,4,0,,,,,,"",""
ball,1,3.3,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,4,0,,,,,,"",""
ball,1,3.4,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,4,0,,,,,,"",""
ball,1,3.5,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,0,0,,,,,,"",""
ball,1,3.6,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,0,1,1,,,,,"",""
ball,1,3.7,Kolkata Knight Riders,SP Narine,PD Salt,Mohsin Khan,6,0,,,,,,"",""
ball,1,4.1,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,4.2,Kolkata Knight Riders,PD Salt,SP Narine,Naveen-ul-Haq,0,0,,,,,,caught,PD Salt
ball,1,4.3,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Naveen-ul-Haq,0,0,,,,,,"",""
ball,1,4.4,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Naveen-ul-Haq,4,0,,,,,,"",""
ball,1,4.5,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,4.6,Kolkata Knight Riders,SP Narine,A Raghuvanshi,Naveen-ul-Haq,2,0,,,,,,"",""
ball,1,5.1,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Yash Thakur,0,0,,,,,,"",""
ball,1,5.2,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Yash Thakur,1,0,,,,,,"",""
ball,1,5.3,Kolkata Knight Riders,SP Narine,A Raghuvanshi,Yash Thakur,0,0,,,,,,"",""
ball,1,5.4,Kolkata Knight Riders,SP Narine,A Raghuvanshi,Yash Thakur,0,0,,,,,,"",""
ball,1,5.5,Kolkata Knight Riders,SP Narine,A Raghuvanshi,Yash Thakur,1,0,,,,,,"",""
ball,1,5.6,Kolkata Knight Riders,A Raghuvanshi,SP Narine,Yash Thakur,0,0,,,,,,"",""
ball,1,6.1,Kolkata Knight Riders,SP Narine,A Raghuvanshi,KH Pandya,1,0,,,,,,"",""
ball,1,6.2,Kolkata Knight Riders,A Raghuvanshi,SP Narine,KH Pandya,1,0,,,,,,"",""
ball,1,6.3,Kolkata Knight Riders,SP Narine,A Raghuvanshi,KH Pandya,6,0,,,,,,"",""
ball,1,6.4,Kolkata Knight Riders,SP Narine,A Raghuvanshi,KH Pandya,1,0,,,,,,"",""
