version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Lucknow Super Giants
info,gender,male
info,season,2025
info,date,2025/04/27
info,event,Indian Premier League
info,match_number,45
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,WG Jacks
info,umpire,CB Gaffaney
info,umpire,J Madanagopal
info,reserve_umpire,A Bengeri
info,tv_umpire,Vinod Seshan
info,match_referee,DS Manohar
info,winner,Mumbai Indians
info,winner_runs,54
info,player,Mumbai Indians,JJ Bumrah
info,player,Mumbai Indians,RD Rickelton
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,WG Jacks
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,Naman Dhir
info,player,Mumbai Indians,C Bosch
info,player,Mumbai Indians,DL Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,KV Sharma
info,player,Lucknow Super Giants,MR Marsh
info,player,Lucknow Super Giants,AK Markram
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,RR Pant
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,DA Miller
info,player,Lucknow Super Giants,Abdul Samad
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Avesh Khan
info,player,Lucknow Super Giants,Prince Yadav
info,player,Lucknow Super Giants,DS Rathi
info,player,Lucknow Super Giants,MP Yadav
info,registry,people,A Badoni,872b03f7
info,registry,people,A Bengeri,c109497d
info,registry,people,AK Markram,6a26221c
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Avesh Khan,eef2536f
info,registry,people,C Bosch,172dff15
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,DL Chahar,23eeb873
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,DS Rathi,13fc5c6d
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JJ Bumrah,462411b3
info,registry,people,KV Sharma,119678fd
info,registry,people,MP Yadav,b1ad996b
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naman Dhir,fffa744b
info,registry,people,Prince Yadav,80b2fb19
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RG Sharma,740742ef
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,TA Boult,a818c1be
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,Vinod Seshan,a3357a27
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,0,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,0,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,0,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,0,1,1,,,,,"",""
ball,1,0.6,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,4,0,,,,,,"",""
ball,1,0.7,Mumbai Indians,RD Rickelton,RG Sharma,MP Yadav,1,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,0,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,6,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,0,0,,,,,,"",""
ball,1,1.4,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,4,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,4,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,RD Rickelton,RG Sharma,Prince Yadav,0,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,0,1,1,,,,,"",""
ball,1,2.2,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,6,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,6,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,0,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,0,0,,,,,,"",""
ball,1,2.6,Mumbai Indians,RG Sharma,RD Rickelton,MP Yadav,0,0,,,,,,caught,RG Sharma
ball,1,2.7,Mumbai Indians,WG Jacks,RD Rickelton,MP Yadav,0,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,0,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,1,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,WG Jacks,RD Rickelton,DS Rathi,0,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,WG Jacks,RD Rickelton,DS Rathi,1,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,4,0,,,,,,"",""
ball,1,4.1,Mumbai Indians,WG Jacks,RD Rickelton,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,4.2,Mumbai Indians,WG Jacks,RD Rickelton,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,4.3,Mumbai Indians,WG Jacks,RD Rickelton,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,4.4,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,6,0,,,,,,"",""
ball,1,4.5,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,4.6,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,5.1,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,6,0,,,,,,"",""
ball,1,5.2,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,1,0,,,,,,"",""
ball,1,5.3,Mumbai Indians,WG Jacks,RD Rickelton,DS Rathi,1,0,,,,,,"",""
ball,1,5.4,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,4,0,,,,,,"",""
ball,1,5.5,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,6,0,,,,,,"",""
ball,1,5.6,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,1,0,,,,,,"",""
ball,1,6.1,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,6.2,Mumbai Indians,WG Jacks,RD Rickelton,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.3,Mumbai Indians,WG Jacks,RD Rickelton,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,6.4,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.5,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,4,0,,,,,,"",""
ball,1,6.6,Mumbai Indians,RD Rickelton,WG Jacks,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,7.1,Mumbai Indians,RD Rickelton,WG Jacks,Avesh Khan,1,0,,,,,,"",""
ball,1,7.2,Mumbai Indians,WG Jacks,RD Rickelton,Avesh Khan,4,0,,,,,,"",""
ball,1,7.3,Mumbai Indians,WG Jacks,RD Rickelton,Avesh Khan,1,0,,,,,,"",""
ball,1,7.4,Mumbai Indians,RD Rickelton,WG Jacks,Avesh Khan,1,0,,,,,,"",""
ball,1,7.5,Mumbai Indians,WG Jacks,RD Rickelton,Avesh Khan,4,0,,,,,,"",""
ball,1,7.6,Mumbai Indians,WG Jacks,RD Rickelton,Avesh Khan,1,0,,,,,,"",""
ball,1,8.1,Mumbai Indians,WG Jacks,RD Rickelton,DS Rathi,1,0,,,,,,"",""
ball,1,8.2,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,1,0,,,,,,"",""
ball,1,8.3,Mumbai Indians,WG Jacks,RD Rickelton,DS Rathi,1,0,,,,,,"",""
ball,1,8.4,Mumbai Indians,RD Rickelton,WG Jacks,DS Rathi,0,0,,,,,,caught,RD Rickelton
ball,1,8.5,Mumbai Indians,SA Yadav,WG Jacks,DS Rathi,0,0,,,,,,"",""
ball,1,8.6,Mumbai Indians,SA Yadav,WG Jacks,DS Rathi,1,0,,,,,,"",""
ball,1,9.1,Mumbai Indians,SA Yadav,WG Jacks,MP Yadav,4,0,,,,,,"",""
ball,1,9.2,Mumbai Indians,SA Yadav,WG Jacks,MP Yadav,1,0,,,,,,"",""
ball,1,9.3,Mumbai Indians,WG Jacks,SA Yadav,MP Yadav,4,0,,,,,,"",""
ball,1,9.4,Mumbai Indians,WG Jacks,SA Yadav,MP Yadav,6,0,,,,,,"",""
ball,1,9.5,Mumbai Indians,WG Jacks,SA Yadav,MP Yadav,1,0,,,,,,"",""
ball,1,9.6,Mumbai Indians,SA Yadav,WG Jacks,MP Yadav,0,0,,,,,,"",""
ball,1,10.1,Mumbai Indians,WG Jacks,SA Yadav,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,10.2,Mumbai Indians,SA Yadav,WG Jacks,Ravi Bishnoi,6,0,,,,,,"",""
ball,1,10.3,Mumbai Indians,SA Yadav,WG Jacks,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,10.4,Mumbai Indians,SA Yadav,WG Jacks,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,10.5,Mumbai Indians,WG Jacks,SA Yadav,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,10.6,Mumbai Indians,SA Yadav,WG Jacks,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,11.1,Mumbai Indians,SA Yadav,WG Jacks,Prince Yadav,0,0,,,,,,"",""
ball,1,11.2,Mumbai Indians,SA Yadav,WG Jacks,Prince Yadav,1,0,,,,,,"",""
ball,1,11.3,Mumbai Indians,WG Jacks,SA Yadav,Prince Yadav,0,0,,,,,,bowled,WG Jacks
ball,1,11.4,Mumbai Indians,Tilak Varma,SA Yadav,Prince Yadav,4,0,,,,,,"",""
ball,1,11.5,Mumbai Indians,Tilak Varma,SA Yadav,Prince Yadav,0,0,,,,,,"",""
ball,1,11.6,Mumbai Indians,Tilak Varma,SA Yadav,Prince Yadav,1,0,,,,,,"",""
ball,1,12.1,Mumbai Indians,Tilak Varma,SA Yadav,Ravi Bishnoi,1,0,,,,,,"",""
