version,1.7.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Gujarat Titans
info,gender,male
info,season,2023
info,date,2023/05/05
info,event,Indian Premier League
info,match_number,48
info,venue,"Sawai Mansingh Stadium, Jaipur"
info,city,Jaipur
info,toss_winner,Rajasthan Royals
info,toss_decision,bat
info,player_of_match,Rashid Khan
info,umpire,HAS Khalid
info,umpire,VK Sharma
info,reserve_umpire,VM Dhokre
info,tv_umpire,Nitin Menon
info,match_referee,J Srinath
info,winner,Gujarat Titans
info,winner_wickets,9
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,D Padikkal
info,player,Rajasthan Royals,R Ashwin
info,player,Rajasthan Royals,R Parag
info,player,Rajasthan Royals,SO Hetmyer
info,player,Rajasthan Royals,Dhruv Jurel
info,player,Rajasthan Royals,TA Boult
info,player,Rajasthan Royals,A Zampa
info,player,Rajasthan Royals,Sandeep Sharma
info,player,Rajasthan Royals,YS Chahal
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,Noor Ahmad
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,J Little
info,registry,people,A Manohar,0890552f
info,registry,people,A Zampa,14f96089
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,DA Miller,d67d5f00
info,registry,people,Dhruv Jurel,bcf325d2
info,registry,people,HAS Khalid,291ded7c
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Little,9061a703
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Buttler,99b75528
info,registry,people,MM Sharma,759ac88f
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Parag,04a418e8
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sandeep Sharma,ce820073
info,registry,people,Shubman Gill,b4b99816
info,registry,people,TA Boult,a818c1be
info,registry,people,V Shankar,0994d0ae
info,registry,people,VK Sharma,a7a49df4
info,registry,people,VM Dhokre,67df71c9
info,registry,people,WP Saha,fe11caa6
info,registry,people,YBK Jaiswal,6c19c6e5
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.2,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.3,Rajasthan Royals,YBK Jaiswal,JC Buttler,Mohammed Shami,1,0,,,,,,"",""
ball,1,0.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,0,1,1,,,,,"",""
ball,1,0.5,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.6,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,0,0,,,,,,"",""
ball,1,0.7,Rajasthan Royals,JC Buttler,YBK Jaiswal,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.1,Rajasthan Royals,YBK Jaiswal,JC Buttler,HH Pandya,0,1,,,,1,,"",""
ball,1,1.2,Rajasthan Royals,JC Buttler,YBK Jaiswal,HH Pandya,4,0,,,,,,"",""
ball,1,1.3,Rajasthan Royals,JC Buttler,YBK Jaiswal,HH Pandya,4,0,,,,,,"",""
ball,1,1.4,Rajasthan Royals,JC Buttler,YBK Jaiswal,HH Pandya,0,0,,,,,,caught,JC Buttler
ball,1,1.5,Rajasthan Royals,SV Samson,YBK Jaiswal,HH Pandya,1,0,,,,,,"",""
ball,1,1.6,Rajasthan Royals,YBK Jaiswal,SV Samson,HH Pandya,0,0,,,,,,"",""
ball,1,2.1,Rajasthan Royals,SV Samson,YBK Jaiswal,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.2,Rajasthan Royals,SV Samson,YBK Jaiswal,Mohammed Shami,1,0,,,,,,"",""
ball,1,2.3,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohammed Shami,6,0,,,,,,"",""
ball,1,2.4,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.5,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohammed Shami,4,0,,,,,,"",""
ball,1,2.6,Rajasthan Royals,YBK Jaiswal,SV Samson,Mohammed Shami,2,0,,,,,,"",""
ball,1,3.1,Rajasthan Royals,SV Samson,YBK Jaiswal,HH Pandya,4,0,,,,,,"",""
ball,1,3.2,Rajasthan Royals,SV Samson,YBK Jaiswal,HH Pandya,6,0,,,,,,"",""
ball,1,3.3,Rajasthan Royals,SV Samson,YBK Jaiswal,HH Pandya,1,0,,,,,,"",""
ball,1,3.4,Rajasthan Royals,YBK Jaiswal,SV Samson,HH Pandya,0,0,,,,,,"",""
ball,1,3.5,Rajasthan Royals,YBK Jaiswal,SV Samson,HH Pandya,1,0,,,,,,"",""
