version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Hyderabad
info,team,Lucknow Super Giants
info,gender,male
info,season,2023
info,date,2023/04/07
info,event,Indian Premier League
info,match_number,10
info,venue,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
info,city,Lucknow
info,toss_winner,Sunrisers Hyderabad
info,toss_decision,bat
info,player_of_match,KH Pandya
info,umpire,J Madanagopal
info,umpire,YC Barde
info,reserve_umpire,PM Joshi
info,tv_umpire,BNJ Oxenford
info,match_referee,M Nayyar
info,winner,Lucknow Super Giants
info,winner_wickets,5
info,player,Sunrisers Hyderabad,Fazalhaq Farooqi
info,player,Sunrisers Hyderabad,Anmolpreet Singh
info,player,Sunrisers Hyderabad,MA Agarwal
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,HC Brook
info,player,Sunrisers Hyderabad,Washington Sundar
info,player,Sunrisers Hyderabad,Abdul Samad
info,player,Sunrisers Hyderabad,AU Rashid
info,player,Sunrisers Hyderabad,Umran Malik
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Lucknow Super Giants,A Mishra
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,KL Rahul
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,R Shepherd
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,JD Unadkat
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,A Badoni
info,registry,people,A Badoni,872b03f7
info,registry,people,A Mishra,6b19d823
info,registry,people,AK Markram,6a26221c
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abdul Samad,8e514b4c
info,registry,people,Anmolpreet Singh,1399b39c
info,registry,people,B Kumar,2e81a32d
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Madanagopal,8275b04a
info,registry,people,JD Unadkat,1e66c162
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KR Mayers,73c18486
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,N Pooran,3241e3fd
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,R Shepherd,c5aef772
info,registry,people,RA Tripathi,77255a9e
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,T Natarajan,ce794613
info,registry,people,Umran Malik,81c08fa3
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YC Barde,b90f3346
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,KR Mayers,1,0,,,,,,"",""
ball,1,0.2,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KR Mayers,1,0,,,,,,"",""
ball,1,0.3,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,KR Mayers,1,0,,,,,,"",""
ball,1,0.4,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KR Mayers,1,0,,,,,,"",""
ball,1,0.5,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,KR Mayers,0,0,,,,,,"",""
ball,1,0.6,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,KR Mayers,1,0,,,,,,"",""
ball,1,1.1,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,JD Unadkat,0,0,,,,,,"",""
ball,1,1.2,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,JD Unadkat,2,0,,,,,,"",""
ball,1,1.3,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,JD Unadkat,0,0,,,,,,"",""
ball,1,1.4,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,JD Unadkat,1,0,,,,,,"",""
ball,1,1.5,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,JD Unadkat,1,0,,,,,,"",""
ball,1,1.6,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,JD Unadkat,6,0,,,,,,"",""
ball,1,2.1,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KH Pandya,0,0,,,,,,"",""
ball,1,2.2,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KH Pandya,4,0,,,,,,"",""
ball,1,2.3,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KH Pandya,1,0,,,,,,"",""
ball,1,2.4,Sunrisers Hyderabad,Anmolpreet Singh,MA Agarwal,KH Pandya,1,0,,,,,,"",""
ball,1,2.5,Sunrisers Hyderabad,MA Agarwal,Anmolpreet Singh,KH Pandya,0,0,,,,,,caught,MA Agarwal
ball,1,2.6,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,KH Pandya,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Hyderabad,Anmolpreet Singh,RA Tripathi,JD Unadkat,0,0,,,,,,"",""
ball,1,3.2,Sunrisers Hyderabad,Anmolpreet Singh,RA Tripathi,JD Unadkat,1,0,,,,,,"",""
ball,1,3.3,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,JD Unadkat,0,0,,,,,,"",""
ball,1,3.4,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,JD Unadkat,0,0,,,,,,"",""
ball,1,3.5,Sunrisers Hyderabad,RA Tripathi,Anmolpreet Singh,JD Unadkat,1,0,,,,,,"",""
ball,1,3.6,Sunrisers Hyderabad,Anmolpreet Singh,RA Tripathi,JD Unadkat,0,1,1,,,,,"",""
