version,1.7.0
info,balls_per_over,6
info,team,Gujarat Titans
info,team,Lucknow Super Giants
info,gender,male
info,season,2023
info,date,2023/05/07
info,event,Indian Premier League
info,match_number,51
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Lucknow Super Giants
info,toss_decision,field
info,player_of_match,Shubman Gill
info,umpire,AK Chaudhary
info,umpire,A Nand Kishore
info,reserve_umpire,M Krishnadas
info,tv_umpire,CB Gaffaney
info,match_referee,Prakash Bhatt
info,winner,Gujarat Titans
info,winner_runs,56
info,player,Gujarat Titans,AS Joseph
info,player,Gujarat Titans,WP Saha
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,HH Pandya
info,player,Gujarat Titans,DA Miller
info,player,Gujarat Titans,V Shankar
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,A Manohar
info,player,Gujarat Titans,MM Sharma
info,player,Gujarat Titans,Mohammed Shami
info,player,Gujarat Titans,Noor Ahmad
info,player,Lucknow Super Giants,Yash Thakur
info,player,Lucknow Super Giants,KR Mayers
info,player,Lucknow Super Giants,Q de Kock
info,player,Lucknow Super Giants,DJ Hooda
info,player,Lucknow Super Giants,MP Stoinis
info,player,Lucknow Super Giants,N Pooran
info,player,Lucknow Super Giants,A Badoni
info,player,Lucknow Super Giants,Swapnil Singh
info,player,Lucknow Super Giants,KH Pandya
info,player,Lucknow Super Giants,Ravi Bishnoi
info,player,Lucknow Super Giants,Mohsin Khan
info,player,Lucknow Super Giants,Avesh Khan
info,registry,people,A Badoni,872b03f7
info,registry,people,A Manohar,0890552f
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Joseph,b0946605
info,registry,people,Avesh Khan,eef2536f
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HH Pandya,dbe50b21
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KR Mayers,73c18486
info,registry,people,M Krishnadas,e298c588
info,registry,people,MM Sharma,759ac88f
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Pooran,3241e3fd
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,PN Mankad,663b5e34
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Q de Kock,372455c4
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Swapnil Singh,983f2f61
info,registry,people,V Shankar,0994d0ae
info,registry,people,WP Saha,fe11caa6
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,0,0,,,,,,"",""
ball,1,0.2,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,0,1,1,,,,,"",""
ball,1,0.3,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,0,0,,,,,,"",""
ball,1,0.4,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,2,0,,,,,,"",""
ball,1,0.5,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,0,1,1,,,,,"",""
ball,1,0.6,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,4,0,,,,,,"",""
ball,1,0.7,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,4,0,,,,,,"",""
ball,1,0.8,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,0,0,,,,,,"",""
ball,1,1.1,Gujarat Titans,Shubman Gill,WP Saha,Avesh Khan,1,0,,,,,,"",""
ball,1,1.2,Gujarat Titans,WP Saha,Shubman Gill,Avesh Khan,0,0,,,,,,"",""
ball,1,1.3,Gujarat Titans,WP Saha,Shubman Gill,Avesh Khan,0,0,,,,,,"",""
ball,1,1.4,Gujarat Titans,WP Saha,Shubman Gill,Avesh Khan,0,0,,,,,,"",""
ball,1,1.5,Gujarat Titans,WP Saha,Shubman Gill,Avesh Khan,6,0,,,,,,"",""
ball,1,1.6,Gujarat Titans,WP Saha,Shubman Gill,Avesh Khan,4,0,,,,,,"",""
ball,1,2.1,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,1,0,,,,,,"",""
ball,1,2.2,Gujarat Titans,WP Saha,Shubman Gill,KH Pandya,4,0,,,,,,"",""
ball,1,2.3,Gujarat Titans,WP Saha,Shubman Gill,KH Pandya,0,0,,,,,,"",""
ball,1,2.4,Gujarat Titans,WP Saha,Shubman Gill,KH Pandya,1,0,,,,,,"",""
ball,1,2.5,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,2,0,,,,,,"",""
ball,1,2.6,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,0,0,,,,,,"",""
ball,1,3.1,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,6,0,,,,,,"",""
ball,1,3.2,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,1,0,,,,,,"",""
ball,1,3.3,Gujarat Titans,Shubman Gill,WP Saha,Mohsin Khan,1,0,,,,,,"",""
ball,1,3.4,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,4,0,,,,,,"",""
ball,1,3.5,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,6,0,,,,,,"",""
ball,1,3.6,Gujarat Titans,WP Saha,Shubman Gill,Mohsin Khan,4,0,,,,,,"",""
ball,1,4.1,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,2,0,,,,,,"",""
ball,1,4.2,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,0,0,,,,,,"",""
ball,1,4.3,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,2,0,,,,,,"",""
ball,1,4.4,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,0,0,,,,,,"",""
ball,1,4.5,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,0,0,,,,,,"",""
ball,1,4.6,Gujarat Titans,Shubman Gill,WP Saha,KH Pandya,6,0,,,,,,"",""
ball,1,5.1,Gujarat Titans,WP Saha,Shubman Gill,Yash Thakur,6,0,,,,,,"",""
ball,1,5.2,Gujarat Titans,WP Saha,Shubman Gill,Yash Thakur,0,0,,,,,,"",""
ball,1,5.3,Gujarat Titans,WP Saha,Shubman Gill,Yash Thakur,1,0,,,,,,"",""
ball,1,5.4,Gujarat Titans,Shubman Gill,WP Saha,Yash Thakur,1,0,,,,,,"",""
ball,1,5.5,Gujarat Titans,WP Saha,Shubman Gill,Yash Thakur,1,0,,,,,,"",""
ball,1,5.6,Gujarat Titans,Shubman Gill,WP Saha,Yash Thakur,6,0,,,,,,"",""
ball,1,6.1,Gujarat Titans,WP Saha,Shubman Gill,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.2,Gujarat Titans,WP Saha,Shubman Gill,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.3,Gujarat Titans,WP Saha,Shubman Gill,Ravi Bishnoi,1,0,,,,,,"",""
