version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Punjab Kings
info,gender,male
info,season,2024
info,date,2024/04/18
info,event,Indian Premier League
info,match_number,33
info,venue,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
info,city,Mohali
info,toss_winner,Punjab Kings
info,toss_decision,field
info,player_of_match,JJ Bumrah
info,umpire,A Nand Kishore
info,umpire,VA Kulkarni
info,reserve_umpire,K Kelkar
info,tv_umpire,Nitin Menon
info,match_referee,Sanjay Verma
info,winner,Mumbai Indians
info,winner_runs,9
info,player,Mumbai Indians,Akash Madhwal
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Tilak Varma
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,TH David
info,player,Mumbai Indians,R Shepherd
info,player,Mumbai Indians,Mohammad Nabi
info,player,Mumbai Indians,G Coetzee
info,player,Mumbai Indians,S Gopal
info,player,Mumbai Indians,JJ Bumrah
info,player,Punjab Kings,Arshdeep Singh
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,RR Rossouw
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,Harpreet Singh
info,player,Punjab Kings,Shashank Singh
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,Ashutosh Sharma
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,HV Patel
info,player,Punjab Kings,K Rabada
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Ashutosh Sharma,84d9c311
info,registry,people,G Coetzee,3204c99f
info,registry,people,HH Pandya,dbe50b21
info,registry,people,HV Patel,f986ca1a
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,Harpreet Singh,28c78fb3
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Kelkar,1d88908d
info,registry,people,K Rabada,e62dd25d
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Simran Singh,9418198b
info,registry,people,R Shepherd,c5aef772
info,registry,people,RG Sharma,740742ef
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S Gopal,7a8bd078
info,registry,people,SA Yadav,271f83cd
info,registry,people,SM Curran,e94915e6
info,registry,people,Sanjay Verma,bc19a37f
info,registry,people,Shashank Singh,26989d80
info,registry,people,TH David,f1f99156
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,VA Kulkarni,8fe0c4f8
ball,1,0.1,Mumbai Indians,Ishan Kishan,RG Sharma,LS Livingstone,0,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,Ishan Kishan,RG Sharma,LS Livingstone,1,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,RG Sharma,Ishan Kishan,LS Livingstone,1,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,Ishan Kishan,RG Sharma,LS Livingstone,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,Ishan Kishan,RG Sharma,LS Livingstone,1,0,,,,,,"",""
ball,1,0.6,Mumbai Indians,RG Sharma,Ishan Kishan,LS Livingstone,4,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,Ishan Kishan,RG Sharma,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,RG Sharma,Ishan Kishan,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,Ishan Kishan,RG Sharma,Arshdeep Singh,4,0,,,,,,"",""
ball,1,1.4,Mumbai Indians,Ishan Kishan,RG Sharma,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,RG Sharma,Ishan Kishan,Arshdeep Singh,4,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,RG Sharma,Ishan Kishan,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,Ishan Kishan,RG Sharma,K Rabada,0,0,,,,,,caught,Ishan Kishan
ball,1,2.2,Mumbai Indians,SA Yadav,RG Sharma,K Rabada,0,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,SA Yadav,RG Sharma,K Rabada,0,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,SA Yadav,RG Sharma,K Rabada,4,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,SA Yadav,RG Sharma,K Rabada,4,0,,,,,,"",""
ball,1,2.6,Mumbai Indians,SA Yadav,RG Sharma,K Rabada,1,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,SA Yadav,RG Sharma,Arshdeep Singh,1,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,RG Sharma,SA Yadav,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,RG Sharma,SA Yadav,Arshdeep Singh,6,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,RG Sharma,SA Yadav,Arshdeep Singh,1,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,SA Yadav,RG Sharma,Arshdeep Singh,1,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,RG Sharma,SA Yadav,Arshdeep Singh,0,0,,,,,,"",""
ball,1,4.1,Mumbai Indians,SA Yadav,RG Sharma,HV Patel,4,0,,,,,,"",""
