version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Sunrisers Hyderabad
info,gender,male
info,season,2023
info,date,2023/04/24
info,event,Indian Premier League
info,match_number,34
info,venue,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
info,city,Hyderabad
info,toss_winner,Delhi Capitals
info,toss_decision,bat
info,player_of_match,AR Patel
info,umpire,J Madanagopal
info,umpire,RJ Tucker
info,reserve_umpire,PM Joshi
info,tv_umpire,UV Gandhe
info,match_referee,R Seth
info,winner,Delhi Capitals
info,winner_runs,7
info,player,Delhi Capitals,Mukesh Kumar
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,PD Salt
info,player,Delhi Capitals,MR Marsh
info,player,Delhi Capitals,SN Khan
info,player,Delhi Capitals,MK Pandey
info,player,Delhi Capitals,Aman Hakim Khan
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,RV Patel
info,player,Delhi Capitals,A Nortje
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,I Sharma
info,player,Sunrisers Hyderabad,T Natarajan
info,player,Sunrisers Hyderabad,HC Brook
info,player,Sunrisers Hyderabad,MA Agarwal
info,player,Sunrisers Hyderabad,RA Tripathi
info,player,Sunrisers Hyderabad,Abhishek Sharma
info,player,Sunrisers Hyderabad,AK Markram
info,player,Sunrisers Hyderabad,H Klaasen
info,player,Sunrisers Hyderabad,Washington Sundar
info,player,Sunrisers Hyderabad,M Jansen
info,player,Sunrisers Hyderabad,M Markande
info,player,Sunrisers Hyderabad,B Kumar
info,player,Sunrisers Hyderabad,Umran Malik
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,AR Patel,2e171977
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Aman Hakim Khan,378daa89
info,registry,people,B Kumar,2e81a32d
info,registry,people,DA Warner,dcce6f09
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HC Brook,4ae1755b
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,J Madanagopal,8275b04a
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Markande,a9fd84fb
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MK Pandey,93b4fc78
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,PD Salt,3d284ca3
info,registry,people,PM Joshi,0dcc9a8c
info,registry,people,R Seth,540a44ba
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RV Patel,60500956
info,registry,people,SN Khan,f088b960
info,registry,people,T Natarajan,ce794613
info,registry,people,UV Gandhe,43dd4011
info,registry,people,Umran Malik,81c08fa3
info,registry,people,Washington Sundar,f19ccfad
ball,1,0.1,Delhi Capitals,DA Warner,PD Salt,B Kumar,0,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,DA Warner,PD Salt,B Kumar,1,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,PD Salt,DA Warner,B Kumar,0,0,,,,,,caught,PD Salt
ball,1,0.4,Delhi Capitals,MR Marsh,DA Warner,B Kumar,0,1,,,,1,,"",""
ball,1,0.5,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,MR Marsh,DA Warner,M Jansen,4,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,MR Marsh,DA Warner,M Jansen,4,0,,,,,,"",""
ball,1,1.3,Delhi Capitals,MR Marsh,DA Warner,M Jansen,0,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,MR Marsh,DA Warner,M Jansen,4,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,MR Marsh,DA Warner,M Jansen,4,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,MR Marsh,DA Warner,M Jansen,3,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,MR Marsh,DA Warner,B Kumar,1,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,2.6,Delhi Capitals,DA Warner,MR Marsh,B Kumar,0,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,MR Marsh,DA Warner,Washington Sundar,0,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,MR Marsh,DA Warner,Washington Sundar,0,0,,,,,,"",""
ball,1,3.3,Delhi Capitals,MR Marsh,DA Warner,Washington Sundar,1,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,DA Warner,MR Marsh,Washington Sundar,4,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,DA Warner,MR Marsh,Washington Sundar,6,0,,,,,,"",""
ball,1,3.6,Delhi Capitals,DA Warner,MR Marsh,Washington Sundar,2,0,,,,,,"",""
ball,1,4.1,Delhi Capitals,MR Marsh,DA Warner,T Natarajan,0,0,,,,,,"",""
ball,1,4.2,Delhi Capitals,MR Marsh,DA Warner,T Natarajan,4,0,,,,,,"",""
ball,1,4.3,Delhi Capitals,MR Marsh,DA Warner,T Natarajan,0,0,,,,,,"",""
