version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Chennai Super Kings
info,gender,male
info,season,2024
info,date,2024/05/18
info,event,Indian Premier League
info,match_number,68
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,F du Plessis
info,umpire,A Totre
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,A Bengeri
info,tv_umpire,MA Gough
info,match_referee,DS Manohar
info,winner,Royal Challengers Bengaluru
info,winner_runs,27
info,player,Royal Challengers Bengaluru,Swapnil Singh
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,F du Plessis
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,C Green
info,player,Royal Challengers Bengaluru,KD Karthik
info,player,Royal Challengers Bengaluru,GJ Maxwell
info,player,Royal Challengers Bengaluru,MK Lomror
info,player,Royal Challengers Bengaluru,Yash Dayal
info,player,Royal Challengers Bengaluru,KV Sharma
info,player,Royal Challengers Bengaluru,Mohammed Siraj
info,player,Royal Challengers Bengaluru,LH Ferguson
info,player,Chennai Super Kings,M Theekshana
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,R Ravindra
info,player,Chennai Super Kings,DJ Mitchell
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MJ Santner
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,SN Thakur
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,Simarjeet Singh
info,registry,people,A Bengeri,c109497d
info,registry,people,A Totre,b1d7d7bc
info,registry,people,AM Rahane,29e95537
info,registry,people,C Green,eaa76d3c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DS Manohar,b35f3ac8
info,registry,people,F du Plessis,3355b542
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,KD Karthik,c03f1114
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,KV Sharma,119678fd
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MK Lomror,da934ee8
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RM Patidar,c740ea83
info,registry,people,S Dube,a4e37e47
info,registry,people,SN Thakur,1abb78f8
info,registry,people,Simarjeet Singh,30df8c66
info,registry,people,Swapnil Singh,983f2f61
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,V Kohli,ba607b88
info,registry,people,Yash Dayal,7210d461
ball,1,0.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,1,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,0,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,TU Deshpande,1,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,F du Plessis,V Kohli,SN Thakur,1,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,SN Thakur,4,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,V Kohli,F du Plessis,SN Thakur,1,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,SN Thakur,0,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,SN Thakur,4,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,F du Plessis,V Kohli,SN Thakur,6,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,6,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,6,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,0,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,V Kohli,F du Plessis,TU Deshpande,1,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,1,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,0,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,0,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bengaluru,F du Plessis,V Kohli,M Theekshana,1,0,,,,,,"",""
ball,1,3.6,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,0,1,1,,,,,"",""
ball,1,3.7,Royal Challengers Bengaluru,V Kohli,F du Plessis,M Theekshana,1,0,,,,,,"",""
