version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Kolkata Knight Riders
info,gender,male
info,season,2022
info,date,2022/04/10
info,event,Indian Premier League
info,match_number,19
info,venue,"Brabourne Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Kolkata Knight Riders
info,toss_decision,field
info,player_of_match,Kuldeep Yadav
info,umpire,CB Gaffaney
info,umpire,J Madanagopal
info,reserve_umpire,R Pandit
info,tv_umpire,HAS Khalid
info,match_referee,Prakash Bhatt
info,winner,Delhi Capitals
info,winner_runs,44
info,player,Delhi Capitals,PP Shaw
info,player,Delhi Capitals,DA Warner
info,player,Delhi Capitals,RR Pant
info,player,Delhi Capitals,Lalit Yadav
info,player,Delhi Capitals,R Powell
info,player,Delhi Capitals,AR Patel
info,player,Delhi Capitals,SN Thakur
info,player,Delhi Capitals,SN Khan
info,player,Delhi Capitals,Kuldeep Yadav
info,player,Delhi Capitals,Mustafizur Rahman
info,player,Delhi Capitals,KK Ahmed
info,player,Kolkata Knight Riders,AM Rahane
info,player,Kolkata Knight Riders,VR Iyer
info,player,Kolkata Knight Riders,SS Iyer
info,player,Kolkata Knight Riders,N Rana
info,player,Kolkata Knight Riders,AD Russell
info,player,Kolkata Knight Riders,SW Billings
info,player,Kolkata Knight Riders,PJ Cummins
info,player,Kolkata Knight Riders,SP Narine
info,player,Kolkata Knight Riders,UT Yadav
info,player,Kolkata Knight Riders,Rasikh Salam
info,player,Kolkata Knight Riders,CV Varun
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rahane,29e95537
info,registry,people,AR Patel,2e171977
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,DA Warner,dcce6f09
info,registry,people,HAS Khalid,291ded7c
info,registry,people,J Madanagopal,8275b04a
info,registry,people,KK Ahmed,a2f46292
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,N Rana,fb2d1dda
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Pandit,8a604384
info,registry,people,R Powell,650d5e49
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Pant,919a3be2
info,registry,people,Rasikh Salam,b8527c3d
info,registry,people,SN Khan,f088b960
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SP Narine,9d430b40
info,registry,people,SS Iyer,85ec8e33
info,registry,people,SW Billings,c16d4035
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,VR Iyer,a24be938
ball,1,0.1,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,4,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,2,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,0,0,,,,,,"",""
ball,1,0.4,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,0,0,,,,,,"",""
ball,1,0.5,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,4,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,0,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,DA Warner,PP Shaw,Rasikh Salam,1,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,PP Shaw,DA Warner,Rasikh Salam,0,0,,,,,,"",""
ball,1,1.3,Delhi Capitals,PP Shaw,DA Warner,Rasikh Salam,4,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,PP Shaw,DA Warner,Rasikh Salam,1,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,DA Warner,PP Shaw,Rasikh Salam,0,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,DA Warner,PP Shaw,Rasikh Salam,4,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,0,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,1,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,DA Warner,PP Shaw,UT Yadav,1,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,4,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,0,4,,,,4,,"",""
ball,1,2.6,Delhi Capitals,PP Shaw,DA Warner,UT Yadav,4,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,DA Warner,PP Shaw,PJ Cummins,4,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,DA Warner,PP Shaw,PJ Cummins,4,0,,,,,,"",""
ball,1,3.3,Delhi Capitals,DA Warner,PP Shaw,PJ Cummins,0,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,DA Warner,PP Shaw,PJ Cummins,1,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,PP Shaw,DA Warner,PJ Cummins,0,0,,,,,,"",""
ball,1,3.6,Delhi Capitals,PP Shaw,DA Warner,PJ Cummins,0,1,1,,,,,"",""
ball,1,3.7,Delhi Capitals,PP Shaw,DA Warner,PJ Cummins,6,0,,,,,,"",""
