version,1.7.0
info,balls_per_over,6
info,team,Chennai Super Kings
info,team,Punjab Kings
info,gender,male
info,season,2023
info,date,2023/04/30
info,event,Indian Premier League
info,match_number,41
info,venue,"MA Chidambaram Stadium, Chepauk, Chennai"
info,city,Chennai
info,toss_winner,Chennai Super Kings
info,toss_decision,bat
info,player_of_match,DP Conway
info,umpire,RJ Tucker
info,umpire,UV Gandhe
info,reserve_umpire,Mohamad Rafi
info,tv_umpire,YC Barde
info,match_referee,M Nayyar
info,winner,Punjab Kings
info,winner_wickets,4
info,player,Chennai Super Kings,Akash Singh
info,player,Chennai Super Kings,RD Gaikwad
info,player,Chennai Super Kings,DP Conway
info,player,Chennai Super Kings,S Dube
info,player,Chennai Super Kings,MM Ali
info,player,Chennai Super Kings,RA Jadeja
info,player,Chennai Super Kings,MS Dhoni
info,player,Chennai Super Kings,AM Rahane
info,player,Chennai Super Kings,M Pathirana
info,player,Chennai Super Kings,TU Deshpande
info,player,Chennai Super Kings,M Theekshana
info,player,Chennai Super Kings,AT Rayudu
info,player,Punjab Kings,K Rabada
info,player,Punjab Kings,P Simran Singh
info,player,Punjab Kings,S Dhawan
info,player,Punjab Kings,Atharva Taide
info,player,Punjab Kings,LS Livingstone
info,player,Punjab Kings,SM Curran
info,player,Punjab Kings,JM Sharma
info,player,Punjab Kings,M Shahrukh Khan
info,player,Punjab Kings,Sikandar Raza
info,player,Punjab Kings,Harpreet Brar
info,player,Punjab Kings,RD Chahar
info,player,Punjab Kings,Arshdeep Singh
info,registry,people,AM Rahane,29e95537
info,registry,people,AT Rayudu,70d205c9
info,registry,people,Akash Singh,b483905d
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DP Conway,df5a6881
info,registry,people,Harpreet Brar,c05edf8e
info,registry,people,JM Sharma,800d2d97
info,registry,people,K Rabada,e62dd25d
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,M Theekshana,f24c6701
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohamad Rafi,0479de6b
info,registry,people,P Simran Singh,9418198b
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Dhawan,0a476045
info,registry,people,S Dube,a4e37e47
info,registry,people,SK Rasheed,cbf58a86
info,registry,people,SM Curran,e94915e6
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TU Deshpande,46a9bea1
info,registry,people,UV Gandhe,43dd4011
info,registry,people,YC Barde,b90f3346
ball,1,0.1,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,0.2,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.3,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,4,0,,,,,,"",""
ball,1,0.4,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.5,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.6,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,0.7,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.8,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,1,0,,,,,,"",""
ball,1,1.1,Chennai Super Kings,RD Gaikwad,DP Conway,K Rabada,0,1,,,,1,,"",""
ball,1,1.2,Chennai Super Kings,DP Conway,RD Gaikwad,K Rabada,0,0,,,,,,"",""
ball,1,1.3,Chennai Super Kings,DP Conway,RD Gaikwad,K Rabada,0,0,,,,,,"",""
ball,1,1.4,Chennai Super Kings,DP Conway,RD Gaikwad,K Rabada,4,0,,,,,,"",""
ball,1,1.5,Chennai Super Kings,DP Conway,RD Gaikwad,K Rabada,4,0,,,,,,"",""
ball,1,1.6,Chennai Super Kings,DP Conway,RD Gaikwad,K Rabada,0,0,,,,,,"",""
ball,1,2.1,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.2,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.3,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.4,Chennai Super Kings,RD Gaikwad,DP Conway,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.5,Chennai Super Kings,DP Conway,RD Gaikwad,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.6,Chennai Super Kings,DP Conway,RD Gaikwad,Arshdeep Singh,4,0,,,,,,"",""
ball,1,3.1,Chennai Super Kings,RD Gaikwad,DP Conway,SM Curran,1,0,,,,,,"",""
ball,1,3.2,Chennai Super Kings,DP Conway,RD Gaikwad,SM Curran,0,0,,,,,,"",""
ball,1,3.3,Chennai Super Kings,DP Conway,RD Gaikwad,SM Curran,1,0,,,,,,"",""
ball,1,3.4,Chennai Super Kings,RD Gaikwad,DP Conway,SM Curran,0,0,,,,,,"",""
ball,1,3.5,Chennai Super Kings,RD Gaikwad,DP Conway,SM Curran,1,0,,,,,,"",""
